"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"13","Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"19","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"20","CN1CCC[C@H]1C1=CN=CC=C1",0
"22","[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O",0
"23","CC1=CC(=O)NC(=S)N1",0
"27","C=CCN=C=S",0
"29","CCCCCCCCCCCCCCCC(O)=O",0
"30","CCCCCCCCCCCCCCCCCC(O)=O",0
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"35","CCCC(=O)OC(OC(=O)CCC)OC(=O)CCC",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"39","OCCC1=CC=CC=C1",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"42","NC(=O)NC1=CC=CC=C1",0
"44","OC(=O)CS",0
"45","CN(C)C=O",0
"52","NC=O",0
"55","OC(=O)C(Cl)(Cl)Cl",0
"58","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",1
"61","CCO[Si](CC)(OCC)OCC",0
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O",0
"66","NC(=O)C=C",0
"67","NC(=O)CCl",0
"69","CCC(O)=O",0
"72","CC(C)(C1CCC(O)CC1)C1CCC(O)CC1",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1",0
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",0
"78","O=C1NS(=O)(=O)C2=C1C=CC=C2",0
"80","OC(=O)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",0
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2",0
"87","C1=CC=C2C(C=CC3=C2C=CC=N3)=C1",0
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",1
"90","NC1=CC2=C(C=C1)C(O)=CC(=C2)S(O)(=O)=O",0
"91","OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1",0
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"93","CCC(CC)C(O)=O",0
"94","CCN(CC)C(Cl)=O",0
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"100","OC1=CC=CC=C1C=O",0
"102","COC1=C(O)C=CC=C1",0
"104","COC1=CC=CC(OC)=C1O",0
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",1
"106","C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1",0
"107","COC1=CC=C(OC)C(C=O)=C1",0
"108","COC1=CC2=C(C=CC=C2)C=C1",0
"109","CC(=O)C1=CC2=CC=CC=C2C=C1",0
"111","CCOC(=O)C1=CC=C(C)C=C1",0
"112","CCOC(=O)C1=CC=C(N)C=C1",0
"113","CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1",0
"116","CC(=C)C(=O)OCC=C",0
"117","CC1OC1C1CCC2(C)OC2C1",0
"118","C1OC1C1=CC=CC=C1",0
"121","O=CC1=CC=CO1",0
"122","SCC1=CC=CO1",0
"123","CC(C)(C)C1=CC=CC=C1",0
"124","ClC(Cl)(Cl)C1=CC=CC=C1",0
"127","OS(=O)(=O)C1=CC=CC=C1",0
"128","CC1=CC=CC(=C1)C(O)=O",0
"130","CC1=CC(=CC=C1)[N+]([O-])=O",0
"136","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
