"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"20","CN1CCC[C@H]1C1=CN=CC=C1",0
"23","CC1=CC(=O)NC(=S)N1",0
"30","CCCCCCCCCCCCCCCCCC(O)=O",0
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"45","CN(C)C=O",0
"52","NC=O",0
"55","OC(=O)C(Cl)(Cl)Cl",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",1
"66","NC(=O)C=C",0
"67","NC(=O)CCl",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1",0
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2",0
"87","C1=CC=C2C(C=CC3=C2C=CC=N3)=C1",1
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"106","C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1",1
"117","CC1OC1C1CCC2(C)OC2C1",0
"118","C1OC1C1=CC=CC=C1",0
"121","O=CC1=CC=CO1",0
"123","CC(C)(C)C1=CC=CC=C1",0
"124","ClC(Cl)(Cl)C1=CC=CC=C1",0
"130","CC1=CC(=CC=C1)[N+]([O-])=O",0
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1",0
"154","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",1
"157","CC1=CC2=NC3=C(SC(=O)S3)N=C2C=C1",1
"164","CCOP(=S)(OCC)SCCS(=O)(=O)CC",0
"167","CCOP(=S)(OCC)SCS(=O)(=O)CC",0
"168","CCOC(=O)C(SP(=S)(OC)OC)C1=CC=CC=C1",0
"203","CC1=CC(=C(O)C(=C1)N1N=C2C=CC(Cl)=CC2=N1)C(C)(C)C",0
"221","OC(CCl)COCC=C",0
"223","OCCN1CN(CCO)CN(CCO)C1",1
"246","CN(C)C(=O)C(Cl)C(C)=O",1
"260","NC1=C(O)C(Cl)=CC(=C1)[N+]([O-])=O",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"272","[O-][N+](=O)C1=CC=C(Cl)C=C1",0
"275","NC1=CC=C(C=C1)[N+]([O-])=O",0
"276","OC1=CC=C(C=C1)[N+]([O-])=O",0
"283","OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O",0
"284","CC(C)C1=CC=C(C=C1)C(C)C",0
"293","[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O",1
"310","CCN(CC)CCO",0
"318","OB(O)O",0
"327","OCC1=CC=CC=C1",0
"331","N#CC1=CN=CC=C1",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"347","COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1",0
"357","C1N2CN3CN1CN(C2)C3",0
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",0
"366","CC(OC1=CC(Cl)=CC=C1)C(O)=O",0
