"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl","6607"
"2","CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C","6881"
"3","[Br-].C[N+](C)(C)CCO","10019"
"4","Br.CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1","16409"
"5","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","18296"
"6","CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C","18325"
"7","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C","18357"
"8","CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1","18420"
"9","CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O","18451"
"10","[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1","18538"
"11","CCC1(CC)C(=O)NC(=O)N(C)C1=O","18570"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC","18693"
"13","Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1","18756"
"14","CCN(CC)CCNC(=O)C1=CC=C(N)C=C1","18788"
"15","O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1","18969"
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12","19000"
"17","CC(S)C(=O)NCC(O)=O","19392"
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","19420"
"19","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","19515"
"20","CN1CCC[C@H]1C1=CN=CC=C1","20033"
"21","NC(CC1=CNC2=CC=CC=C12)C(O)=O","20064"
"22","[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O","20241"
"23","CC1=CC(=O)NC(=S)N1","20547"
"24","NC1=NC(Cl)=CC(Cl)=N1","20578"
"25","NC1=CC(=O)N=C(N)N1","20610"
"26","NCCCC(O)=O","20791"
"27","C=CCN=C=S","20978"
"28","CC(=O)NCCCCCC(O)=O","21041"
"29","CCCCCCCCCCCCCCCC(O)=O","21096"
"30","CCCCCCCCCCCCCCCCCC(O)=O","21128"
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","21399"
"32","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C","21590"
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","21672"
"34","CCOC1=CC(NC(C)=O)=CC=C1C(=O)OC","21704"
"35","CCCC(=O)OC(OC(=O)CCC)OC(=O)CCC","21920"
"36","OS(O)(=O)=O.OS(O)(=O)=O.NC(=N)NCCN1CCCCCCC1","21952"
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1","22162"
"38","CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1","22227"
"39","OCCC1=CC=CC=C1","22258"
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O","23139"
"41","CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O","23352"
"42","NC(=O)NC1=CC=CC=C1","23658"
"43","Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","24539"
"44","OC(=O)CS","25143"
"45","CN(C)C=O","25174"
"46","COC1=CC=CC=C1OCC1CNC(=O)O1","25754"
"47","BrCC(=O)C1=CC=CC=C1","25873"
"48","CCCCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1","26514"
"49","OC(=O)C1=CC=C(Cl)C=C1","27336"
"50","CC#N","27522"
"51","ClCCl","27639"
"52","NC=O","27735"
"53","ClC(Cl)C(Cl)(Cl)Cl","27766"
"54","ClC(=O)C(Cl)(Cl)Cl","27798"
"55","OC(=O)C(Cl)(Cl)Cl","27828"
"56","[O-][N+](=O)C(Cl)(Cl)Cl","27913"
"57","CCC1(CC)C(=O)NC=CC1=O","28218"
"58","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O","28281"
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1","28376"
"60","CN1CCN(CC1)C1=NC2=C(CC3=C1C=CC=C3)C=CC=C2","28432"
"61","CCO[Si](CC)(OCC)OCC","28680"
"62","CCO[Si](OCC)(OCC)OCC","28767"
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O","28799"
"64","ClC=C(Cl)Cl","28861"
"65","ClCC(Cl)=O","28954"
"66","NC(=O)C=C","29007"
"67","NC(=O)CCl","29038"
"68","OC(=O)CBr","29070"
"69","CCC(O)=O","29102"
