"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"20","CN1CCC[C@H]1C1=CN=CC=C1",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",0
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2",1
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",0
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"109","CC(=O)C1=CC2=CC=CC=C2C=C1",1
"154","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",0
"164","CCOP(=S)(OCC)SCCS(=O)(=O)CC",0
"170","CN(C)C(=O)C=C",0
"187","CO[Si](CCC1CCC2OC2C1)(OC)OC",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"276","OC1=CC=C(C=C1)[N+]([O-])=O",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"349","CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1",0
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",1
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",1
"379","C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1",0
"384","FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1",1
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"394","CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"403","CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"404","NC1=CC=C(CC2=CC=C(N)C=C2)C=C1",0
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",0
"411","C1CCC(CC1)NC1CCCCC1",0
"436","NC(=O)C(Br)(Br)C#N",0
"480","ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl",1
"500","C1=CC=C(C=C1)N=NC1=CC=CC=C1",0
"502","FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"510","O=C(OCC1=CC=CC=C1)C=CC1=CC=CC=C1",1
"571","CC(O[Si](C)(C)C)=N[Si](C)(C)C",0
"598","OCC=CC1=CC=CC=C1",0
"605","C(COC1=CC=CC=C1)OC1=CC=CC=C1",1
"606","CCCCCCCC1CCC(=O)O1",0
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"649","C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C",0
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",0
"665","CC1=CC(C)=C(O)C=C1",0
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",0
"708","CC1=CC=C(O)C=C1",0
"712","NC1=CC=C(Cl)C=C1",0
"715","NC1=CC=C(N)C=C1",0
"784","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",1
"838","CC1=CC(N)=CC=C1",0
"842","CC1=CC=CC(C)=N1",0
