"","SMILES","Type"
"23","CC1=CC(=O)NC(=S)N1",1
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"404","NC1=CC=C(CC2=CC=C(N)C=C2)C=C1",1
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",1
"438","CCNC1=CC(C)=CC=C1",0
"533","CCNC1=CC=CC=C1",0
"714","CC1=CC=C(N)C=C1",1
"838","CC1=CC(N)=CC=C1",1
"1311","CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC",0
"1503","CN(C)C1=CC=CC=C1",1
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",0
"1545","N(C1=CC=CC=C1)C1=CC=CC=C1",0
"1762","[Na+].CN(C)C([S-])=S",1
"1775","C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1",0
"1969","CSC(=O)C1=CC=CC2=C1SN=N2",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",1
"2190","Cl.NC1=CC=CC=C1",1
"2306","CCOC1=NC(F)=CC2=NC(=NN12)S(=O)(=O)NC1=C(Cl)C=CC=C1Cl",1
"2653","CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC",0
"3179","CCOP(=S)(OC1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1",0
"3406","COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1",1
"3466","CC1=CC=C(C)C(O)=C1C",0
"3699","[Na+].[N-]=[N+]=[N-]",1
"3806","CC1=C(O)C=C(N)C=C1",1
"3901","COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O",0
"3903","CCOP(=S)(OCC)SCCSCC",0
"3989","COP(=O)(NC(C)=O)SC",1
"4187","COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1",1
"4203","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4504","[Na+].[O-][N+]1=C([S-])C=CC=C1",1
"4771","C[C@@H](OC1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C3OCOC3=C2)C(F)=C1)C(O)=O",0
"5137","Cl.CC(C)NCC(O)C1=CC(O)=C(O)C=C1",1
"5534","NNC(=O)C1=CC=NC=C1",1
"5699","CCOP(=S)(OCC)SCSP(=S)(OCC)OCC",0
"5806","CC1=CC=CC(C)=C1O",0
"5840","CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12",1
"5962","NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2",1
"6088","CNC(=O)CSP(=S)(OC)OC",0
"6092","CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O",1
"7048","COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O",1
"7092","CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1",0
"7124","[Cl-].[Cl-].[Hg++]",1
"7309","CCC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"7604","OC(=O)C1=C(C=CC=C1)C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"7830","COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O",1
"8013","COC1=CC=CC=C1N",1
"8078","CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1",1
"8140","N1C2=CC=CC=C2SC2=C1C=CC=C2",1
"8512","CCC(C)C1=CC=C(O)C=C1",0
"8526","CN(C)C1=CC=C(C)C=C1",1
"8548","NC1=CC2=C3N(CCC3=C1)C(=O)[C@H](NC(=O)C1=CC=CN=C1)N=C2C1=CC=CC=C1",0
"8579","CC1=C2N=C(C3=CC=CC=C3Cl)C3=C(NC2=NN1)C=CC(=C3)[N+]([O-])=O",0
