"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",1
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",1
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"52","NC=O",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2",0
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",1
"121","O=CC1=CC=CO1",1
"154","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",1
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"276","OC1=CC=C(C=C1)[N+]([O-])=O",1
"318","OB(O)O",0
"327","OCC1=CC=CC=C1",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"347","COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1",1
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",1
"366","CC(OC1=CC(Cl)=CC=C1)C(O)=O",0
"372","COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",1
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",1
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"393","BrC1=CC=C(OC2=CC=CC=C2)C=C1",1
"394","CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1",1
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"414","CCCCCCC(C=O)=CC1=CC=CC=C1",1
"446","ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl",1
"455","COP(N)(=O)SC",0
"488","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC",0
"502","FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2",1
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"532","CCCC1=CC=CC=C1",0
"566","CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O",0
"576","CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O",1
"589","CCCCCCCCCC1=CC=C(O)C=C1",1
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",1
"606","CCCCCCCC1CCC(=O)O1",1
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",1
"649","C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C",1
