"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",1
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"310","CCN(CC)CCO",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",0
"394","CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1",0
"404","NC1=CC=C(CC2=CC=C(N)C=C2)C=C1",0
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",0
"460","CC(=O)OCC(COC(C)=O)OC(C)=O",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"649","C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C",1
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",0
"690","CC(CCO)CCC=C(C)C",0
"698","CCCCCCC(=O)OCC",0
"784","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",0
"937","CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1",1
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",1
"968","CCOCCO",0
"999","CC(=O)OCCOCCOCCOC(C)=O",0
"1018","ClCCOCCCl",0
"1198","ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1",0
"1262","ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)CC(Br)CO1",0
"1293","COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C1/SC(=O)N2CCCCN12",0
