"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",1
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"276","OC1=CC=C(C=C1)[N+]([O-])=O",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",0
"425","N=C(NC1=CC=CC=C1)NC1=CC=CC=C1",1
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",1
"698","CCCCCCC(=O)OCC",0
"898","Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1",1
"1070","ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1",0
"1076","[Cl-].CCCCCCCCCCCC[N+](C)(C)C",1
"1298","CO\C=C(\C(=O)OC)C1=C(COC2=NC(=CC=C2)C(F)(F)F)C=CC=C1",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",1
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",1
"1598","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1",0
"1603","CCOC(=O)CCC(=O)OCC",0
"1636","CC(C)CCOC(C)=O",0
"1653","CCCCCCCCCC",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1867","CCCSP(=O)(OCC)SCCC",1
"1898","ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O",0
