"","SMILES","Type"
"123","CC(C)(C)C1=CC=CC=C1",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"272","[O-][N+](=O)C1=CC=C(Cl)C=C1",0
"331","N#CC1=CN=CC=C1",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",0
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"665","CC1=CC(C)=C(O)C=C1",0
"677","CCCCOC(=O)CCCCC(=O)OCCCC",0
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",0
"693","CC(C)=CCC\C(C)=C/CO",0
"737","CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12",0
"924","CC(C)(C)OOC(C)(C)C",0
"937","CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1",0
"949","C\C=C\C=C\C(O)=O",0
"1018","ClCCOCCCl",0
"1035","N#CCCCCC#N",0
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",1
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1441","O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1",0
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"1495","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1",0
"1589","CCCCCCCCCCCCC1=CC=CC=C1",0
"1644","OC(=O)CCCCC(O)=O",0
"1647","CCCCCCCC(O)=O",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",1
"1723","CC(C)CC(C)(O)C#CC(C)(O)CC(C)C",0
"1775","C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1",0
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",0
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",0
"1929","[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-]",0
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",0
"2167","NCCO",0
"2216","CCCCCC(O)=O",0
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",0
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",1
"2402","CC(C)(C)C1=CSC(=N1)C1=CC2=C(O1)C=CC(OCC1=CC=CC=C1CC(O)=O)=C2",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",0
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",0
"2542","[Cl-].C(C1=CC=CC=C1)[N+]1=C2C=CC=CC2=CC=C1",0
"2588","O[C@@H]1[C@@H](CC2=CC=C(C=C2)C2=CC=CC=C2)COC2=C1C=CC(=C2)C1(CCCC1)C(O)=O",0
"2669","CSC(C)(C)C=NO",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"2899","Cl.CN(C)C(=O)NC1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC(F)=C(F)C=C2)CC1)C1=CC=CC=C1",0
"2981","ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl",1
"2984","CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O",0
"3118","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI",0
"3295","OC(=O)C(F)(F)F.COC1=CC(C2=C(CCC3CCCCC3)SC(NC(=O)C3=CC4=CC(C)=CC(C)=C4N3CC(O)=O)=N2)=C(OC)C=C1Cl",1
"3372","ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1",0
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",0
"3806","CC1=C(O)C=C(N)C=C1",0
