"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"30","CCCCCCCCCCCCCCCCCC(O)=O",1
"118","C1OC1C1=CC=CC=C1",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",0
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",1
"871","O=C1CCCCC1",0
"1074","[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",1
"1197","OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1",1
"1296","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1",0
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1453","COC1=CC=C(C)C=C1N",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",1
"1700","CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O",0
"1739","[Ca++].CCC([O-])=C1C(=O)CC(CC1=O)C([O-])=O",0
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",0
"1967","NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2",0
"2015","ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl",0
"2253","ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl",0
"2397","SC1=NC2=C(S1)C=CC=C2",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",1
"2619","COC1=NC(NC(C)C)=NC(NC(C)C)=N1",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"2889","CCCCCCCCC1=CC=C(O)C=C1",0
"3045","CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1",1
"3140","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"3290","[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O",0
"3295","OC(=O)C(F)(F)F.COC1=CC(C2=C(CCC3CCCCC3)SC(NC(=O)C3=CC4=CC(C)=CC(C)=C4N3CC(O)=O)=N2)=C(OC)C=C1Cl",1
"3636","[Na+].[Na+].COC1=C(C=C(C)C(=C1)S([O-])(=O)=O)\N=N\C1=C2C=CC(=CC2=CC=C1O)S([O-])(=O)=O",1
"3659","CN1SC(Cl)=CC1=O",1
"3720","CC1=C(N)C(N)=CC=C1",0
"3782","[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"3836","CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1",0
"3872","CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1",0
"3895","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl",1
"4203","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4204","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"4403","CC(C)O[Ti](OCCN(CCO)CCO)(OCCN(CCO)CCO)OC(C)C",1
"4469","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
