"","SMILES","Type"
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"272","[O-][N+](=O)C1=CC=C(Cl)C=C1",0
"331","N#CC1=CN=CC=C1",0
"343","CCNC1=NC(N)=NC(Cl)=N1",1
"347","COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1",1
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",0
"532","CCCC1=CC=CC=C1",0
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"737","CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12",0
"924","CC(C)(C)OOC(C)(C)C",0
"1007","O=CCCCC=O",0
"1035","N#CCCCCC#N",0
"1079","CCCCCCCCCCCCC=C",0
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",0
"1263","CC1(C)N(CO)C(=O)NC1=O",0
"1307","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC",0
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1543","CCNC1=NC(NCC)=NC(Cl)=N1",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",1
"1749","CC(=O)C(\C)=C\C1C(C)=CCCC1(C)C",0
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",0
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",0
"1927","O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",1
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",0
"2167","NCCO",0
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",0
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",1
"2402","CC(C)(C)C1=CSC(=N1)C1=CC2=C(O1)C=CC(OCC1=CC=CC=C1CC(O)=O)=C2",0
"2425","NC1=CC=C(C=C1)C(O)=O",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",0
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",1
"2813","CON(C(=O)OC)C1=C(COC2=NN(C=C2)C2=CC=C(Cl)C=C2)C=CC=C1",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"2860","CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2",1
"2889","CCCCCCCCC1=CC=C(O)C=C1",0
"2899","Cl.CN(C)C(=O)NC1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC(F)=C(F)C=C2)CC1)C1=CC=CC=C1",0
"2984","CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O",0
"2990","CCNC1=NC(NC(C)C)=NC(Cl)=N1",0
"3113","CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F",0
"3118","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI",0
"3187","CN\C(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O",1
"3217","CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1",0
"3253","ClC1=NC(Cl)=C(Cl)C(Cl)=C1Cl",0
"3427","CCO[Si](CCCNC(N)=O)(OCC)OCC",0
"3659","CN1SC(Cl)=CC1=O",0
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",0
"3806","CC1=C(O)C=C(N)C=C1",0
"3906","BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1",0
"4203","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4403","CC(C)O[Ti](OCCN(CCO)CCO)(OCCN(CCO)CCO)OC(C)C",1
"4454","OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1",0
"4469","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4520","[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=CC=C1)S([O-])(=O)=O",0
"4659","CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4670","COC1=CC=C(\C=C\C)C=C1",0
"4746","CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O",0
"4770","C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC2=C1C",0
"4808","OC(=O)C1=CC(=CC=C1)N(CC1=CN=CC=C1)C1=CC=C(OC(F)F)C(OC(F)F)=C1",1
"4924","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O",0
"4941","C1CC=CCCC=CCCC=C1",0
"5072","OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O",0
"5131","OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1",0
"5136","OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"5236","ClC1=CC=C(C=C1)C(Cl)(Cl)Cl",0
"5294","O=C(N[C@H]1CN2CCC1CC2)C1=CC2=C(OCCO2)C=C1",0
"5297","[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O",0
"5368","CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",0
"5455","ClC1=CC(Cl)=CC=C1",0
"5549","OC(=O)CC(O)(CC(O)=O)C(O)=O.CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"5576","CCN(CC)N=O",1
