"","SMILES","Type"
"30","CCCCCCCCCCCCCCCCCC(O)=O",1
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"488","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"589","CCCCCCCCCC1=CC=C(O)C=C1",1
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"649","C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C",0
"1074","[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O",0
"1293","COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C1/SC(=O)N2CCCCN12",0
"1303","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F",0
"1311","CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1371","CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl",0
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1524","CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1",0
"1653","CCCCCCCCCC",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",1
"1660","CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)CC1=CC=CC2=C1C=CO2",1
"1762","[Na+].CN(C)C([S-])=S",1
"1772","CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O",0
"1788","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1",0
