"","SMILES","Type"
"23","CC1=CC(=O)NC(=S)N1",0
"30","CCCCCCCCCCCCCCCCCC(O)=O",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",1
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",0
"784","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",1
"898","Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1",1
"996","[NH4+].NC([O-])=O",0
"1007","O=CCCCC=O",0
"1186","CCOC(=O)[C@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1",0
"1258","CNC(=O)ON=CC(C)(C)SC",1
"1293","COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C1/SC(=O)N2CCCCN12",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1565","N(NC1=CC=CC=C1)C1=CC=CC=C1",1
"1598","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1",0
"1653","CCCCCCCCCC",0
"1660","CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)CC1=CC=CC2=C1C=CO2",1
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1772","CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O",0
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1853","CCCCOC(=O)C1=C(C=CC=C1)C(O)=O",0
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",1
"1868","CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1",0
"1948","CCN(CC)C(=O)C1=CC=CC(C)=C1",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",0
"2013","CCCCOC(=O)C1=CC=CC=C1",0
"2017","CCCCCCC1=C(O)C=C(O)C=C1",0
"2094","COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1",1
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2173","COP(=O)(OC)O\C(C)=C\C(=O)N(C)C",1
"2211","CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1",1
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2351","Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1",1
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",0
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",1
"2437","CN(C)C(=O)NC1=CC=C(Cl)C=C1",0
"2482","CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1",1
"2486","IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1",0
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",1
"2542","[Cl-].C(C1=CC=CC=C1)[N+]1=C2C=CC=CC2=CC=C1",0
"2548","CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2",1
"2736","CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"2878","NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1",0
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",1
"2899","Cl.CN(C)C(=O)NC1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC(F)=C(F)C=C2)CC1)C1=CC=CC=C1",1
"2923","CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1",0
"2943","COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl",0
"2975","NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2",1
"3053","Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2",0
"3118","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI",0
"3138","Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O",0
"3140","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"3149","C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1",0
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",1
"3172","C1=CC2=C3C1=CC=CC3=CC=C2",0
"3185","CC(C)(O)C1=COC(=C1)S(=O)(=O)NC(=O)NC1=C2CCCC2=CC2=C1CCC2",0
"3374","CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C",1
"3380","CNC(=O)ON=C(SC)C(=O)N(C)C",1
"3397","Cl.CNC(=O)OC1=CC=CC(=C1)N=CN(C)C",0
"3488","OC1CCC(CC1)C1CCCCC1",0
"3529","CCCCCCCCCCCCCN1CC(C)OC(C)C1",0
"3659","CN1SC(Cl)=CC1=O",0
"3682","CC1=CC=C(C=C1)S(O)(=O)=O.CCN(C(C)C)C(=O)C1=CC(OC[C@H](C)NC2=CC=NC=C2)=CC(C)=C1",1
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",1
"3720","CC1=C(N)C(N)=CC=C1",1
"3870","CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl",1
"3901","COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O",0
"3933","COP(=O)(OC)OC(Br)C(Cl)(Cl)Br",1
