"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",0
"66","NC(=O)C=C",0
"130","CC1=CC(=CC=C1)[N+]([O-])=O",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"276","OC1=CC=C(C=C1)[N+]([O-])=O",0
"283","OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O",0
"310","CCN(CC)CCO",0
"327","OCC1=CC=CC=C1",0
"331","N#CC1=CN=CC=C1",0
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",0
"372","COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",0
"394","CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1",0
"404","NC1=CC=C(CC2=CC=C(N)C=C2)C=C1",0
"460","CC(=O)OCC(COC(C)=O)OC(C)=O",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"566","CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O",0
"606","CCCCCCCC1CCC(=O)O1",0
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"652","CCCC(=O)OCC",0
"665","CC1=CC(C)=C(O)C=C1",0
"690","CC(CCO)CCC=C(C)C",0
"692","CC(C)=CCC\C(C)=C\CO",0
"708","CC1=CC=C(O)C=C1",0
"711","ClC1=CC=C(Cl)C=C1",0
"735","C1OC1C1CCC2OC2C1",0
"737","CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12",0
"754","OCCCl",0
"804","CC(O)CCO",0
"805","CCCC(O)=O",0
"840","OC1=CC(O)=CC=C1",0
"868","NC1CCCCC1",0
"872","OC1=CC=CC=C1",0
"924","CC(C)(C)OOC(C)(C)C",0
"960","CCCCC=O",0
"968","CCOCCO",0
"1015","OCCNCCO",0
"1019","OCCOCCO",0
"1057","CCCCCCCCO",0
"1060","CCOCCOCCO",0
"1063","COC(=O)CCCC(=O)OC",0
"1077","CCCCCCCCCCC",0
"1081","CCCCCCCCC(O)=O",0
"1105","CCCCCCCCCCO",0
"1134","CCCCCCCCCCCCO",0
"1146","CCCCCCCCCCCCCO",0
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",0
"1255","ClCCOP(=O)(OCCCl)OCCCl",0
"1263","CC1(C)N(CO)C(=O)NC1=O",0
"1296","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1",1
"1347","CC1=C(O)C(=O)C=CO1",0
"1404","O=C(C1=CC=CC=C1)C1=CC=CC=C1",0
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1470","COC1=CC=C(O)C(=C1)C(C)(C)C",0
"1503","CN(C)C1=CC=CC=C1",0
"1607","CC1=NNC(=O)N(C1)\N=C\C1=CC=CN=C1",1
"1609","OC1=CC=C(O)C=C1",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",1
"1678","C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO",0
"1703","OCC(CO)(CO)[N+]([O-])=O",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",0
"1749","CC(=O)C(\C)=C\C1C(C)=CCCC1(C)C",0
"1839","C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C",0
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",0
"1927","O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2",0
"2015","ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl",0
"2089","OC(=O)CN(CC(O)=O)CC(O)=O",0
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",0
"2136","CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1",0
"2167","NCCO",0
"2253","ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl",0
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",0
"2374","OC1=CC=CC2=CC=CN=C12",0
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",1
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",0
"2397","SC1=NC2=C(S1)C=CC=C2",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",1
"2513","NC1=NC2=C(NC=N2)C(=S)N1",0
"2597","CS(O)(=O)=O.CC(C)C1=CC=C(C=C1S(C)(=O)=O)C(=O)N=C(N)N",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"2889","CCCCCCCCC1=CC=C(O)C=C1",0
"2975","NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2",0
"2981","ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl",1
"2984","CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O",0
"3034","CC(C)(C)C1=CC(O)=CC=C1O",0
"3045","CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1",0
"3082","Cl.CC1=CC2=C(C=C1C(F)(F)F)N(CC2)C(=O)NC1=CC=C(OC2=CC=CN=C2C)N=C1",0
"3105","Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1",0
"3118","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI",0
"3143","C1=CC2=C(C=C1)C1=CC3=C(C=CC=C3)C3=C1C2=CC=C3",0
"3245","CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1",1
"3253","ClC1=NC(Cl)=C(Cl)C(Cl)=C1Cl",0
"3266","OCC(CO)N1C=NC(=C1C1=CC=NC(OC2=CC=CC=C2)=N1)C1=CC=C(F)C=C1",0
"3290","[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O",0
"3372","ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1",0
"3466","CC1=CC=C(C)C(O)=C1C",0
"3487","CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC",0
"3668","OC12N=C(SC1CC1=CC(Cl)=CC=C21)C1=CC=CC=C1",0
"3682","CC1=CC=C(C=C1)S(O)(=O)=O.CCN(C(C)C)C(=O)C1=CC(OC[C@H](C)NC2=CC=NC=C2)=CC(C)=C1",0
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",1
"3720","CC1=C(N)C(N)=CC=C1",1
"3738","O1C=CC2=C1C=CC=C2",0
"3806","CC1=C(O)C=C(N)C=C1",0
"3836","CCC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Br)C=C1",0
"3861","CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O",0
"3906","BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1",0
"4165","[Na+].[Na+].CCCCC1=NC2=C(C=C1)[C@@H]([C@H]([C@@H]2C1=CC=C(OC)C=C1C[C@H](C)C([O-])=O)C([O-])=O)C1=CC2=C(OCO2)C=C1",0
"4203","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4403","CC(C)O[Ti](OCCN(CCO)CCO)(OCCN(CCO)CCO)OC(C)C",1
"4454","OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1",0
"4469","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4504","[Na+].[O-][N+]1=C([S-])C=CC=C1",0
