"","SMILES","Type"
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",1
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",1
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",0
"698","CCCCCCC(=O)OCC",0
"1048","CCCCCCCCCCCC(=O)OC",0
"1070","ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1",0
"1130","CCOCCOCCOCCO",1
"1150","OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2",0
"1175","CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O",0
"1197","OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1",1
"1242","CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1",0
"1303","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1614","CC(C)=CCCC(=C)C=C",1
"1620","CC(C)CCO",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",0
"1703","OCC(CO)(CO)[N+]([O-])=O",0
"1788","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1",0
"1813","[As]#[In]",0
"1892","CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(C)CC1)=C2O",0
"1902","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",1
"2017","CCCCCCC1=C(O)C=C(O)C=C1",0
"2044","[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S",0
"2152","CC(C)COC(=O)CCCCC(=O)OCC(C)C",0
"2253","ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl",1
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",0
"2486","IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1",0
"2513","NC1=NC2=C(NC=N2)C(=S)N1",0
"2669","CSC(C)(C)C=NO",0
"2728","OC1=C(Br)C=C(C=C1Br)C#N",0
"2736","CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"2898","[Na+].COC1=NN(C(=O)[N-]S(=O)(=O)C2=C(OC(F)(F)F)C=CC=C2)C(=O)N1C",0
"2981","ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl",0
"3013","[Na+].[Na+].[Na+].[O-]C(=O)C1=C(\N=N\C2=CC=C(C=C2)S([O-])(=O)=O)C(=O)N(N1)C1=CC=C(C=C1)S([O-])(=O)=O",1
"3138","Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O",0
"3290","[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O",0
"3352","CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2",1
"3372","ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1",1
"3373","CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12",0
"3864","CN[C@H]1CC[C@@H](C2=CC=C(Cl)C(Cl)=C2)C2=CC=C(C=C12)S(N)(=O)=O",0
"3872","CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1",0
"3895","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl",1
"3902","CCOP(=S)(OCC)SCSCC",0
"4006","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4184","CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C",0
"4218","OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1",1
"4306","CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C",0
"4321","ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C",1
"4454","OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1",1
"4523","CN(C)CCCN(C)CCCN(C)C",0
"4533","[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4659","CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"4877","O=C(N[C@H]1CN2CCC1CC2)C1=CC2=C(OC=C2)C=N1",0
"4997","CC1=C(CCOC2=CC=CC3=C2C=CN3CCC(O)=O)N=C(O1)C1=CC=CC=C1",0
"5279","CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1",0
"5368","CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",1
"5549","OC(=O)CC(O)(CC(O)=O)C(O)=O.CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"5635","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1",0
"5728","C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2",0
"5832","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O",0
"5904","CCCCC(CC)C(O)C#C",0
"5913","Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl",0
"6107","C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl",0
"6264","NC1=NNC=N1",0
"6433","N#CSCSC#N",0
"6716","O.O.O.[Na+].CNC([S-])=S",0
"6880","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO",0
"6888","CCCCOC(=O)C(C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1",0
"7016","COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl",0
"7022","CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1",0
"7148","CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12",0
"7462","CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1",0
"7517","NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1",0
"7553","CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC(OC2=CC=CC=C2)=CC=C1",0
"7564","[Na+].CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12",0
"7577","CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O",1
"7630","[Na+].[O-]C1=CC=C(C=C1)[N+]([O-])=O",0
"7722","CC[C@@H]([C@@H](CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"7754","CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C",0
"7944","CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C",0
"8117","CCCCN(CCCC)N=O",0
"8215","COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(CCC(F)(F)F)C=CC=C2)=N1",0
"8321","ClC1=CC(Cl)=C(Cl)C=C1Cl",0
"8336","CCOP(=O)(OCC)OC1=NC(=NC(C)=C1)C(C)C",1
"8346","S=C1NCCN1",0
"8395","COC1=CC(C=CC)=CC=C1O",0
"8551","CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1N)N1C=NC2=C1N=CN=C2NCC1=CC(Cl)=CC=C1OCC1=CC(C)=NO1",0
"8560","O.Cl.CN1CCN(CC2=CC(=CO2)C2=CC=C3N=C(O)OC3=C2)[C@H](C1)C1=CC=C(F)C=C1",0
