"","SMILES","Type"
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"45","CN(C)C=O",0
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"118","C1OC1C1=CC=CC=C1",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"272","[O-][N+](=O)C1=CC=C(Cl)C=C1",1
"327","OCC1=CC=CC=C1",0
"331","N#CC1=CN=CC=C1",1
"347","COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1",0
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"566","CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O",0
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"665","CC1=CC(C)=C(O)C=C1",1
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"690","CC(CCO)CCC=C(C)C",0
"695","CCCC(=O)OCCC(C)C",0
"711","ClC1=CC=C(Cl)C=C1",0
"714","CC1=CC=C(N)C=C1",0
"722","COC(=O)CCC(=O)OC",0
"737","CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12",0
"939","C=CC(=O)NCNC(=O)C=C",1
"992","CCCCCCC(O)=O",0
"1035","N#CCCCCC#N",1
"1107","CCCCOCCOCCO",0
"1112","OC(=O)CCCCCCCCC=C",1
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",1
"1198","ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1",0
"1227","OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl",0
"1263","CC1(C)N(CO)C(=O)NC1=O",0
"1347","CC1=C(O)C(=O)C=CO1",0
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",0
"1404","O=C(C1=CC=CC=C1)C1=CC=CC=C1",0
"1413","COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1",0
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1436","CCOC(=O)C1=CC=C(O)C=C1",0
"1446","COC(=O)C1=CC=C(C=C1)C(=O)OC",0
"1457","OC1=C(O)C=CC=C1",0
"1466","CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC",0
"1470","COC1=CC=C(O)C(=C1)C(C)(C)C",0
"1647","CCCCCCCC(O)=O",0
"1767","CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C",0
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1884","O1C2=CC=CC=C2C2=C1C=CC=C2",0
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",0
"1969","CSC(=O)C1=CC=CC2=C1SN=N2",0
"1992","[Na+].CCCCC1=NC2=C(N=CC=C2)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=N[N-]1",1
"2017","CCCCCCC1=C(O)C=C(O)C=C1",0
"2024","COC(=O)NC1=CC(OC(=O)NC2=CC=CC(C)=C2)=CC=C1",0
"2070","CC\C(=C/C(=N\O)/C(N)=O)C(C)[N+]([O-])=O",1
"2094","COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1",1
"2098","CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1",0
