"","SMILES","Type"
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"331","N#CC1=CN=CC=C1",0
"459","OCCN(CCO)CCO",0
"488","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC",0
"722","COC(=O)CCC(=O)OC",0
"839","NC1=CC(N)=CC=C1",0
"1083","O=S1(=O)CCCO1",0
"1458","ClC1=CC(Cl)=C(Cl)C=C1",0
"1466","CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC",0
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"1636","CC(C)CCOC(C)=O",0
"1647","CCCCCCCC(O)=O",1
"1651","CCCCCCCC=O",0
"1653","CCCCCCCCCC",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",1
"1700","CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O",0
"1749","CC(=O)C(\C)=C\C1C(C)=CCCC1(C)C",0
"1767","CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C",0
"1775","C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1",1
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",0
"1897","ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",1
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",0
"2042","CN(C)C(=S)SSC(=S)N(C)C",1
"2089","OC(=O)CN(CC(O)=O)CC(O)=O",0
"2167","NCCO",0
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",1
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",0
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",0
"2597","CS(O)(=O)=O.CC(C)C1=CC=C(C=C1S(C)(=O)=O)C(=O)N=C(N)N",0
"2669","CSC(C)(C)C=NO",0
"2853","CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O",0
"2981","ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl",0
"2984","CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O",0
"3027","CNCC1=CC=C(NC(=O)C2=CNC3=C2C(=O)CCC3)C=C1",0
"3046","COCC1=NN=C(N1C1=C(Cl)C(Cl)=CC2=C1NC(=O)C(=O)N2)C1=C[N+]([O-])=CC=C1",0
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",0
"3217","CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1",0
"3225","N#CSCSC1=NC2=CC=CC=C2S1",1
"3328","NC1=CC=CC2=C(N)C=CC=C12",1
"3434","ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl",0
"3806","CC1=C(O)C=C(N)C=C1",0
"3854","CC1=CC(NC(=O)C(O)=O)=CC(C)=C1OC1=CC=C(O)C2=C1CCC2",1
"3933","COP(=O)(OC)OC(Br)C(Cl)(Cl)Br",1
"4087","Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl",0
"4170","CCCCC(CC)COC(=O)C1=CC=C(C(=O)OCC(CC)CCCC)C(=C1)C(=O)OCC(CC)CCCC",0
"4194","CCCCCCCCCC(O)=O",0
"4205","CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O",0
"4454","OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1",0
"4469","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4533","[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4600","CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C",0
"4659","CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4770","C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC2=C1C",0
"4776","OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O",1
"4924","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O",0
"4971","CC1=CC=C(N)C(N)=C1",0
"5019","C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@H]2O",0
"5021","ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl",1
