"","SMILES","Type"
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"331","N#CC1=CN=CC=C1",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",1
"737","CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12",0
"924","CC(C)(C)OOC(C)(C)C",0
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1429","CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O",0
"1543","CCNC1=NC(NCC)=NC(Cl)=N1",0
"1636","CC(C)CCOC(C)=O",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",0
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",0
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",0
"2098","CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1",0
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",0
"2167","NCCO",0
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",1
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",1
"2402","CC(C)(C)C1=CSC(=N1)C1=CC2=C(O1)C=CC(OCC1=CC=CC=C1CC(O)=O)=C2",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",1
"2619","COC1=NC(NC(C)C)=NC(NC(C)C)=N1",0
"2728","OC1=C(Br)C=C(C=C1Br)C#N",1
"2787","COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1",1
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
