"","SMILES","Type"
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"272","[O-][N+](=O)C1=CC=C(Cl)C=C1",0
"331","N#CC1=CN=CC=C1",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",0
"425","N=C(NC1=CC=CC=C1)NC1=CC=CC=C1",0
"446","ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl",0
"459","OCCN(CCO)CCO",0
"490","CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC",0
"532","CCCC1=CC=CC=C1",0
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",0
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",0
"681","COC(=O)NC1=NC2=CC=CC=C2N1",0
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",0
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",0
"693","CC(C)=CCC\C(C)=C/CO",0
"707","CC1=CC=C(Cl)C=C1",0
"737","CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12",0
"764","OCCO",0
"838","CC1=CC(N)=CC=C1",0
"924","CC(C)(C)OOC(C)(C)C",0
"1015","OCCNCCO",0
"1018","ClCCOCCCl",0
"1035","N#CCCCCC#N",0
"1098","CCCCCCOCCO",0
"1112","OC(=O)CCCCCCCCC=C",0
"1123","CCCCCCCCCCCO",0
"1130","CCOCCOCCOCCO",0
"1134","CCCCCCCCCCCCO",0
"1146","CCCCCCCCCCCCCO",0
"1148","CCCCCCCCCCCCCCO",0
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",0
"1242","CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1",0
"1347","CC1=C(O)C(=O)C=CO1",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
