"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"318","OB(O)O",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",1
"693","CC(C)=CCC\C(C)=C/CO",0
"695","CCCC(=O)OCCC(C)C",0
"1070","ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1",1
"1076","[Cl-].CCCCCCCCCCCC[N+](C)(C)C",0
"1195","CNC(=O)OC1=CC=CC=C1OC(C)C",1
"1198","ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1",0
"1258","CNC(=O)ON=CC(C)(C)SC",1
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",0
"1545","N(C1=CC=CC=C1)C1=CC=CC=C1",0
"1647","CCCCCCCC(O)=O",0
"1651","CCCCCCCC=O",0
"1653","CCCCCCCCCC",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",1
"1739","[Ca++].CCC([O-])=C1C(=O)CC(CC1=O)C([O-])=O",0
"1897","ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",0
"1969","CSC(=O)C1=CC=CC2=C1SN=N2",1
"1978","CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N",1
"2042","CN(C)C(=S)SSC(=S)N(C)C",0
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2211","CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1",1
