"","SMILES","Type"
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"275","NC1=CC=C(C=C1)[N+]([O-])=O",1
"276","OC1=CC=C(C=C1)[N+]([O-])=O",1
"343","CCNC1=NC(N)=NC(Cl)=N1",1
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",1
"502","FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2",1
"839","NC1=CC(N)=CC=C1",1
"1076","[Cl-].CCCCCCCCCCCC[N+](C)(C)C",1
"1186","CCOC(=O)[C@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1",1
"1262","ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)CC(Br)CO1",0
"1296","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1",1
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",1
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",1
"1395","ClC1=CC=CC(Cl)=C1C#N",1
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",1
"1421","C1=CC2=CC3=C(C=CC=C3)C=C2C=C1",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1460","OC1=C(Cl)C=C(Cl)C=C1",0
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",1
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",1
"1653","CCCCCCCCCC",0
"1665","FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1",0
"1721","CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1836","COC(=O)C1=C(C=CC=C1)C(=O)OC",0
"1842","FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N",0
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1927","O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2",1
"1969","CSC(=O)C1=CC=CC2=C1SN=N2",1
"1971","OC1=CC2=C(C=CC=C2)C=C1",1
"1978","CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N",1
"2017","CCCCCCC1=C(O)C=C(O)C=C1",1
"2023","CCOC(=O)NC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1",1
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",0
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2374","OC1=CC=CC2=CC=CN=C12",0
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",0
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",1
"2419","COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1",1
"2437","CN(C)C(=O)NC1=CC=C(Cl)C=C1",1
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",1
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",1
"2990","CCNC1=NC(NC(C)C)=NC(Cl)=N1",1
"3053","Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2",1
"3225","N#CSCSC1=NC2=CC=CC=C2S1",1
"3236","CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F",1
"3328","NC1=CC=CC2=C(N)C=CC=C12",1
"3374","CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C",1
"3397","Cl.CNC(=O)OC1=CC=CC(=C1)N=CN(C)C",0
"3895","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl",0
"4155","CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1",1
"4156","CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1",1
"4159","CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1",1
"4218","OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1",1
"4401","CCCCCCCCCCCCCCCCO",1
"4745","COC(=O)C1=C(C=CC=C1)C(O)=O",0
"4776","OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O",1
"4909","OC1=CC2=C(C=CC=C2)C2=CC=CC=C12",1
"5128","CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1",0
"5196","O=C(NC1=CN=NS1)NC1=CC=CC=C1",1
"5256","CC1=C(SCCO1)C(=O)NC1=CC=CC=C1",1
"5292","CC1=CC(C)=C(O)C(C)=C1",0
"5316","CC1=CC(C)=NC(NC2=CC=CC=C2)=N1",1
"5319","OC1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34",1
"5512","NC1=NC(N)=C2N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1",1
"5536","[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C",1
"5807","C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@]2(O)C#C",0
"5823","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C",0
