"","SMILES","Type"
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"275","NC1=CC=C(C=C1)[N+]([O-])=O",1
"310","CCN(CC)CCO",1
"839","NC1=CC(N)=CC=C1",1
"872","OC1=CC=CC=C1",0
"1066","COCCOCCOC",1
"1296","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1",1
"1303","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F",0
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",1
"1347","CC1=C(O)C(=O)C=CO1",0
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",1
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",1
"1518","OC(=O)C1=CC(=CC=C1)C(O)=O",0
"1636","CC(C)CCOC(C)=O",0
"1651","CCCCCCCC=O",0
"1653","CCCCCCCCCC",0
"1700","CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O",0
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1902","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",1
"1969","CSC(=O)C1=CC=CC2=C1SN=N2",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",1
"2017","CCCCCCC1=C(O)C=C(O)C=C1",1
"2042","CN(C)C(=S)SSC(=S)N(C)C",1
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",1
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2306","CCOC1=NC(F)=CC2=NC(=NN12)S(=O)(=O)NC1=C(Cl)C=CC=C1Cl",0
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",0
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",1
"2419","COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1",1
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",1
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",1
"2966","CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl",0
