"","SMILES","Type"
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"124","ClC(Cl)(Cl)C1=CC=CC=C1",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"276","OC1=CC=C(C=C1)[N+]([O-])=O",1
"372","COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1",0
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"502","FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2",1
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"753","O=C(CCCCCCCCC1=CN=CC=C1)N1CCC(CC1)C=C(C1=CC=CC=C1)C1=CC=CC=C1",0
"777","CC(O)CC(C)(C)O",0
"898","Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1",1
"924","CC(C)(C)OOC(C)(C)C",1
"993","CCOCCOC(C)=O",0
"1060","CCOCCOCCO",0
"1076","[Cl-].CCCCCCCCCCCC[N+](C)(C)C",1
"1120","CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C",0
"1133","Cl.CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1",1
"1175","CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O",0
"1186","CCOC(=O)[C@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1",1
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",0
"1395","ClC1=CC=CC(Cl)=C1C#N",1
"1436","CCOC(=O)C1=CC=C(O)C=C1",0
"1446","COC(=O)C1=CC=C(C=C1)C(=O)OC",1
"1460","OC1=C(Cl)C=C(Cl)C=C1",1
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",1
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",0
"1509","CCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"1603","CCOC(=O)CCC(=O)OCC",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1842","FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N",1
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1868","CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1",1
"1898","ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O",0
"1927","O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2",1
"1969","CSC(=O)C1=CC=CC2=C1SN=N2",1
"1971","OC1=CC2=C(C=CC=C2)C=C1",1
"2007","CCCOC(=O)C1=CC=C(N=C1)C(=O)OCCC",0
"2070","CC\C(=C/C(=N\O)/C(N)=O)C(C)[N+]([O-])=O",1
"2090","NC(=O)N(O)[C@@H]1COC2=C1C=CC(OCC1=CC=CC=C1)=C2",1
"2094","COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1",0
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2374","OC1=CC=CC2=CC=CN=C12",0
"2419","COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1",1
"2619","COC1=NC(NC(C)C)=NC(NC(C)C)=N1",1
"2622","CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1",0
"2653","CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC",0
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",0
"2945","O[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C1=CC2=CC(Cl)=CC=C2N1)C(=O)N1C[C@H](O)[C@H](O)C1",0
"3045","CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1",1
"3065","CCCCCCCC1=CC=C(O)C=C1",1
"3186","CSC1=NN=C(C(=O)N1N)C(C)(C)C",1
"3225","N#CSCSC1=NC2=CC=CC=C2S1",0
"3376","CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1",1
"3406","COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1",0
"3442","[Na+].[Na+].C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP([O-])([O-])=O",0
"3699","[Na+].[N-]=[N+]=[N-]",0
"3710","COC1=CC(Cl)=C(OC)C=C1Cl",0
"3895","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl",0
"3901","COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O",0
"3933","COP(=O)(OC)OC(Br)C(Cl)(Cl)Br",1
"4155","CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1",1
"4156","CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1",1
"4159","CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1",0
"4632","CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O",0
"4731","COS([O-])(=O)=O.CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1",1
"4752","COC1=CC(OC)=C(C=C1)S(=O)(=O)N1C(=O)[C@@](N2C[C@H](O)C[C@H]2C(=O)N(C)C)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1OC",0
"4768","CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1",1
"4776","OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O",1
"4808","OC(=O)C1=CC(=CC=C1)N(CC1=CN=CC=C1)C1=CC=C(OC(F)F)C(OC(F)F)=C1",0
"5035","OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1",1
"5044","CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C",0
"5265","OCC(Br)(CO)[N+]([O-])=O",1
"5296","CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",1
"5373","CCC(C)(C)C1CCC(O)CC1",0
"5608","CCCCNC(=O)OCC#CI",0
"5669","CS(=O)(=O)OCCCCOS(C)(=O)=O",0
"5806","CC1=CC=CC(C)=C1O",0
"5982","CC1=C(Cl)C=CC(O)=C1",1
"5996","OC(=O)C1=CC=CN=C1",1
"6036","CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1",0
"6055","CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O",1
"6092","CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O",0
"6103","C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl",1
"6118","CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O",1
"6216","CC(C)(C)OOC(=O)C1=CC=CC=C1",0
"6333","CC(=O)O[Hg]C1=CC=CC=C1",1
"6437","CNC(=O)OC1=C2C=CC=CC2=CC=C1",1
"6449","OC1=CC2=C(CC3=CC=CC=C23)C=C1",1
"6636","OC(=O)C1=CC=CC=C1",0
"6667","CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1",0
"6714","OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1",0
"6768","ClC1=NC=CC(NC(=O)NC2=CC=CC=C2)=C1",1
"6772","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C",1
"6948","CCC(=O)NC1=CC=C(Cl)C(Cl)=C1",1
"7016","COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl",1
"7025","NCC1=CC=CC(=C1)C1CCN(CC1)C(=O)C1=CC=C(O1)C#CC1=CC=CC=C1F",1
"7048","COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O",0
"7097","COC(=O)C1=C(C=CC=C1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1",0
"7533","CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1",0
"7604","OC(=O)C1=C(C=CC=C1)C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"7616","O=C=NCCCCCCN=C=O",0
"7702","CN1C=NC2=C1C(=O)NC(=O)N2C",0
"7922","C=CN1CCCC1=O",0
"8054","CN(C)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)N(C)C",1
"8068","C1=CC2=C(C=C1)N=CC=C2",0
"8089","O=C1OC2=C(C=CC=C2)C=C1",1
"8267","N1N=NC2=C1C=CC=C2",1
"8294","CC1=CC(C)=C(C)C=C1",0
"8296","CC1=C(C)C=C(O)C=C1",1
"8322","OC1=C(Cl)C=C(Cl)C(Cl)=C1",1
"8349","CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O",0
"8385","CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C",1
"8396","CC1=C(N)C=CC(=C1)N=NC1=C(C)C=CC=C1",1
"8484","NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O",1
"8496","CC1=C(N)C=C(C=C1)[N+]([O-])=O",1
"8499","COC1=C(N)C=C(C=C1)[N+]([O-])=O",1
"8501","CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12",0
"8509","[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O",1
"8555","CC(C)(O)C1=NC2=NC=C(N2N=C1)C1=CC(=C(F)C=C1)C1=C(C=CC=C1F)C#N",0
"8557","F[C@@H](CO[C@H]1CC[C@@H](CC1)NC1=C2C=NN=C2N=CN1)C1=CC=CC=C1F",1
"8558","Cl.COC1=CC=CC(=C1)C1=C(Cl)C=C(\C=C/CN2CCCCCC2)C=C1",1
"8560","O.Cl.CN1CCN(CC2=CC(=CO2)C2=CC=C3N=C(O)OC3=C2)[C@H](C1)C1=CC=C(F)C=C1",1
"8563","CCOC(=O)[C@@]1(OC2=CC=CC=C2[C@@H]1N)C1=CC=CC=C1",1
"8573","Cl.CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1",1
"8577","OC(=O)\C=C\C(O)=O.O=C1N(CCC2=NOC(=N2)C2=CC=C(CN3CCCCCC3)S2)C(=O)C2=C1C=CC=C2",1
"8584","FC1=CC(Br)=C(C=C1)C(=O)NS(=O)(=O)\C=C\C1=CC=CS1",0
