"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"276","OC1=CC=C(C=C1)[N+]([O-])=O",1
"414","CCCCCCC(C=O)=CC1=CC=CC=C1",0
"425","N=C(NC1=CC=CC=C1)NC1=CC=CC=C1",0
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"707","CC1=CC=C(Cl)C=C1",0
"898","Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1",1
"1079","CCCCCCCCCCCCC=C",0
"1103","FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1",1
"1112","OC(=O)CCCCCCCCC=C",1
"1172","CCSC(=O)N(CC)C1CCCCC1",1
"1186","CCOC(=O)[C@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1",1
"1246","OCC(CO)(CO)CO",0
"1320","CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1",0
"1375","CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC11CCN(CC1)C1(C)CCN(CC1)C(=O)C1=C(C)N=CN=C1C",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1458","ClC1=CC(Cl)=C(Cl)C=C1",1
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",1
"1576","CC1=NN(C(=O)N1C(F)F)C1=CC(NS(C)(=O)=O)=C(Cl)C=C1Cl",0
"1603","CCOC(=O)CCC(=O)OCC",1
"1610","O=C1NNC(=O)C=C1",0
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1785","CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)NC(=O)CCl",0
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1898","ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O",0
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",0
"1926","NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",1
"2042","CN(C)C(=S)SSC(=S)N(C)C",0
"2094","COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1",1
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",1
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2167","NCCO",0
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2419","COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1",1
"2736","CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F",0
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",1
"2945","O[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C1=CC2=CC(Cl)=CC=C2N1)C(=O)N1C[C@H](O)[C@H](O)C1",0
"2965","ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1",1
"3045","CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1",0
"3171","COC(=O)C1=C(C=C(CNS(C)(=O)=O)C=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1",1
"3186","CSC1=NN=C(C(=O)N1N)C(C)(C)C",0
"3373","CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12",0
"3558","CS(O)(=O)=O.CC1=NC=CN1C1=CC=C(SC2=CC=CC(=C2)C2(CCOCC2)C(N)=O)C=C1",0
"3681","O=C1NSC2=C1C=CC=C2",1
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",0
"3933","COP(=O)(OC)OC(Br)C(Cl)(Cl)Br",0
"3955","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O",0
"4014","ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl",0
"4133","CC12CC1(C)C(=O)N(C2=O)C1=CC(Cl)=CC(Cl)=C1",0
"4148","OCC(CO)(CBr)CBr",0
"4156","CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1",1
"4159","CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1",0
"4218","OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1",1
"4308","CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC3=NON=C3C=C2)C=C1",0
"4752","COC1=CC(OC)=C(C=C1)S(=O)(=O)N1C(=O)[C@@](N2C[C@H](O)C[C@H]2C(=O)N(C)C)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1OC",1
"4768","CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1",0
"4770","C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC2=C1C",0
"4812","Cl.CCCCN1C(=O)[C@H](NC(=O)C11CCN(CC2=CC=C(OC3=CC=C(C=C3)C(O)=O)C=C2)CC1)[C@H](O)C1CCCCC1",1
"4924","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O",0
"5035","OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1",1
"5131","OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1",0
