"","SMILES","Type"
"52","NC=O",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"404","NC1=CC=C(CC2=CC=C(N)C=C2)C=C1",1
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",1
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",0
"753","O=C(CCCCCCCCC1=CN=CC=C1)N1CCC(CC1)C=C(C1=CC=CC=C1)C1=CC=CC=C1",0
"996","[NH4+].NC([O-])=O",0
"1198","ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1",0
"1227","OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl",1
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",0
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1509","CCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"1598","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1",0
"1967","NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2",1
"1992","[Na+].CCCCC1=NC2=C(N=CC=C2)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=N[N-]1",1
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2319","CC1=CC2=C(OC(CN(CC3=CC=CC=C3)C(=O)NC3=C(F)C=C(F)C=C3F)=C2C2=CC=C(Cl)C=C2)C=C1",0
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",1
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",1
"2482","CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1",0
"2588","O[C@@H]1[C@@H](CC2=CC=C(C=C2)C2=CC=CC=C2)COC2=C1C=CC(=C2)C1(CCCC1)C(O)=O",1
"2669","CSC(C)(C)C=NO",1
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"2853","CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O",0
"2860","CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2",0
"3045","CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1",0
"3046","COCC1=NN=C(N1C1=C(Cl)C(Cl)=CC2=C1NC(=O)C(=O)N2)C1=C[N+]([O-])=CC=C1",0
"3113","CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F",1
"3140","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"3217","CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1",1
"3223","CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C",1
