"","SMILES","Type"
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1613","[Na+].COC1=CC(OC)=NC(SC2=C(C([O-])=O)C(Cl)=CC=C2)=N1",0
"1653","CCCCCCCCCC",0
"1788","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1",0
"1892","CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(C)CC1)=C2O",0
"1897","ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",1
"1992","[Na+].CCCCC1=NC2=C(N=CC=C2)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=N[N-]1",1
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",0
"2402","CC(C)(C)C1=CSC(=N1)C1=CC2=C(O1)C=CC(OCC1=CC=CC=C1CC(O)=O)=C2",0
"2669","CSC(C)(C)C=NO",0
"2787","COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"2897","[Na+].CCCOC1=NN(C(=O)[N-]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C",0
"2981","ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl",0
"2990","CCNC1=NC(NC(C)C)=NC(Cl)=N1",0
"3080","CCSC(=O)N(CC(C)C)CC(C)C",0
