"","SMILES","Type"
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",1
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",1
"343","CCNC1=NC(N)=NC(Cl)=N1",1
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"1296","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1",1
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",1
"1414","CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1495","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1",1
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",1
"1603","CCOC(=O)CCC(=O)OCC",0
"1653","CCCCCCCCCC",0
"1713","COC(=O)C1=C(C(C)=CC=C1)S(=O)(=O)NC(=O)NC1=NC(=NC(OCC(F)(F)F)=N1)N(C)C",1
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1967","NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2",1
"2007","CCCOC(=O)C1=CC=C(N=C1)C(=O)OCCC",1
"2136","CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1",0
"2253","ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl",1
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",1
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",1
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",1
