"","SMILES","Type"
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",1
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"488","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC",1
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",1
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",1
"784","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",0
"1074","[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1103","FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1",1
"1249","O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1613","[Na+].COC1=CC(OC)=NC(SC2=C(C([O-])=O)C(Cl)=CC=C2)=N1",1
"1660","CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)CC1=CC=CC2=C1C=CO2",0
"1892","CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(C)CC1)=C2O",0
"1902","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",1
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",1
"1926","NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O",1
"1929","[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-]",1
"1967","NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2",1
"2013","CCCCOC(=O)C1=CC=CC=C1",0
"2015","ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl",1
"2017","CCCCCCC1=C(O)C=C(O)C=C1",1
"2044","[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S",0
"2131","[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O",0
"2136","CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1",1
"2216","CCCCCC(O)=O",0
"2278","CC(C)OP(C)(=O)OC(C)C",1
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2351","Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1",0
"2437","CN(C)C(=O)NC1=CC=C(Cl)C=C1",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",1
"2482","CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1",1
"2640","CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1",1
"2669","CSC(C)(C)C=NO",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"2853","CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O",1
"2923","CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1",1
"2943","COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl",0
"3045","CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1",1
"3046","COCC1=NN=C(N1C1=C(Cl)C(Cl)=CC2=C1NC(=O)C(=O)N2)C1=C[N+]([O-])=CC=C1",0
"3053","Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2",1
"3113","CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F",1
"3138","Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O",0
"3140","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",1
"3216","CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"3223","CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C",1
"3290","[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O",1
"3295","OC(=O)C(F)(F)F.COC1=CC(C2=C(CCC3CCCCC3)SC(NC(=O)C3=CC4=CC(C)=CC(C)=C4N3CC(O)=O)=N2)=C(OC)C=C1Cl",0
"3328","NC1=CC=CC2=C(N)C=CC=C12",0
"3659","CN1SC(Cl)=CC1=O",0
"3681","O=C1NSC2=C1C=CC=C2",0
"3691","CCCCCCCCN1SC=CC1=O",1
"3782","[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"3848","CNCC1=C(OC2=CC=C(Cl)C(Cl)=C2)C=CC(F)=C1",1
"4138","CCN(CC)C(=O)C1=CC(=C(C=C1N(CC)CCN(C)C)N1CCC(CC1)C1=CC=CC=C1)S(=O)(=O)CC1=CC=CC=C1",0
"4148","OCC(CO)(CBr)CBr",0
"4155","CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1",1
"4203","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"4204","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"4289","CCN1N=C(C)C2=C1C(=O)NCC(=N2)C1=CC=C(O)C=C1",1
"4469","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"4511","[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"4520","[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=CC=C1)S([O-])(=O)=O",1
"4533","[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
"4656","OC1=C(CC=C)C=C(C=C1)S(=O)(=O)C1=CC(CC=C)=C(O)C=C1",1
"4752","COC1=CC(OC)=C(C=C1)S(=O)(=O)N1C(=O)[C@@](N2C[C@H](O)C[C@H]2C(=O)N(C)C)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1OC",0
"4997","CC1=C(CCOC2=CC=CC3=C2C=CN3CCC(O)=O)N=C(O1)C1=CC=CC=C1",1
"5094","CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1",1
"5110","CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",1
"5294","O=C(N[C@H]1CN2CCC1CC2)C1=CC2=C(OCCO2)C=C1",0
"5319","OC1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34",0
"5635","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1",0
"5725","CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"5815","[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O",1
"5867","CCCCC(CC)COC(=O)CCCCC(=O)OCC1=CC=CC=C1",1
"6039","OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1",1
"6100","C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl",0
"6333","CC(=O)O[Hg]C1=CC=CC=C1",1
"6538","O=CC1=CC=CC=C1C=O",1
"6983","[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC",1
"7092","CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1",0
"7124","[Cl-].[Cl-].[Hg++]",1
"7503","CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12",0
"7564","[Na+].CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12",0
"7632","CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1",1
"7790","CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl",1
"7828","FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl",0
"7944","CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C",0
"8544","CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C2=CC=NC=C2)N=C(C2=CC=CC=C2)C3=C1",0
"8545","[Na+].CC(C)C1=CC=CC(C(C)C)=C1NC(=O)[N-]S(=O)(=O)C1=CC(=CO1)C(C)(C)O",1
"8567","Cl.CCOC(=O)O[C@H](C)OC(=O)C1=CC=C2N(CC3=NOC(=C3)C3=CC=C(Cl)S3)C(=CC2=C1)C(=O)NC1CCN(CC1)C(C)C",1
"8568","Cl.CCN(CC1=CC=CN=C1)C(=O)C1=CC=CC(Cl)=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12",1
"8569","Cl.CCCOC1=C(Br)C(C)=C(S1)C(=O)N1CCC(CC1)C1=CC(CN)=CC=C1F",0
