"","SMILES","Type"
"52","NC=O",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",1
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"784","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",1
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",0
"1066","COCCOCCOC",0
"1076","[Cl-].CCCCCCCCCCCC[N+](C)(C)C",1
"1102","OCCOCCOCCO",0
"1103","FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1",0
"1172","CCSC(=O)N(CC)C1CCCCC1",1
"1246","OCC(CO)(CO)CO",0
"1258","CNC(=O)ON=CC(C)(C)SC",0
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",0
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1441","O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1",0
"1561","CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC",0
"1653","CCCCCCCCCC",0
"1660","CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)CC1=CC=CC2=C1C=CO2",0
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1788","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1",0
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",0
"1992","[Na+].CCCCC1=NC2=C(N=CC=C2)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=N[N-]1",0
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",0
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2322","CCCC[Sn](Cl)(CCCC)CCCC",0
"2402","CC(C)(C)C1=CSC(=N1)C1=CC2=C(O1)C=CC(OCC1=CC=CC=C1CC(O)=O)=C2",0
"2456","COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(C=C1)S(C)=O)C(F)F",1
"2542","[Cl-].C(C1=CC=CC=C1)[N+]1=C2C=CC=CC2=CC=C1",0
"2622","CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1",0
"2669","CSC(C)(C)C=NO",0
"2708","CNC(=O)ON=C(C)SC",1
"2794","CC1=C(C2=C(O1)C(NC(=O)C1=C(Cl)C=CC=C1Cl)=CC=C2)C(C)(C)O",0
"2878","NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1",0
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",1
"2899","Cl.CN(C)C(=O)NC1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC(F)=C(F)C=C2)CC1)C1=CC=CC=C1",0
"3113","CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F",1
"3221","CCCOC1=C(C=C(C=C1)S(=O)(=O)N1CCN(CC)CC1)C1=NC2=C(CC)N(CC3=CC=CC=N3)N=C2C(=O)N1",1
"3223","CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C",0
"3365","CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C",0
"3558","CS(O)(=O)=O.CC1=NC=CN1C1=CC=C(SC2=CC=CC(=C2)C2(CCOCC2)C(N)=O)C=C1",1
"3636","[Na+].[Na+].COC1=C(C=C(C)C(=C1)S([O-])(=O)=O)\N=N\C1=C2C=CC(=CC2=CC=C1O)S([O-])(=O)=O",1
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",1
"3811","CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C",1
"3895","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl",1
"4031","CCNP(=S)(OC)O\C(C)=C\C(=O)OC(C)C",0
"4138","CCN(CC)C(=O)C1=CC(=C(C=C1N(CC)CCN(C)C)N1CCC(CC1)C1=CC=CC=C1)S(=O)(=O)CC1=CC=CC=C1",1
"4184","CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C",0
"4194","CCCCCCCCCC(O)=O",0
"4269","COC1=CC2=C(C(=O)N(COC3=CC(=O)N4C=CC=C(OCCN5CCCCC5)C4=N3)S2(=O)=O)C(=C1)C(C)C",0
"4289","CCN1N=C(C)C2=C1C(=O)NCC(=N2)C1=CC=C(O)C=C1",0
"4321","ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C",1
"4417","CC[C@H]1CC[C@H](NCC2=CC3=C(C=C2OC)[C@H]2C[C@H]2C(=O)N3C)[C@@H](N1)C1=CC=CC=C1",1
"4600","CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C",1
