"","SMILES","Type"
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",1
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"123","CC(C)(C)C1=CC=CC=C1",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"777","CC(O)CC(C)(C)O",0
"898","Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1",1
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",0
"1198","ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1",0
"1320","CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1436","CCOC(=O)C1=CC=C(O)C=C1",0
"1543","CCNC1=NC(NCC)=NC(Cl)=N1",0
"1598","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1",0
"1647","CCCCCCCC(O)=O",0
"1653","CCCCCCCCCC",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",0
"1867","CCCSP(=O)(OCC)SCCC",1
