"","SMILES","Type"
"23","CC1=CC(=O)NC(=S)N1",1
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",1
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",0
"414","CCCCCCC(C=O)=CC1=CC=CC=C1",0
"606","CCCCCCCC1CCC(=O)O1",1
"1230","OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",0
"1598","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1",1
"1653","CCCCCCCCCC",1
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1897","ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",1
"2042","CN(C)C(=S)SSC(=S)N(C)C",0
"2170","CON=C(C(=O)OC)C1=C(CON=C(C)C2=CC(=CC=C2)C(F)(F)F)C=CC=C1",0
"2308","OC(=O)C1C2CCC(O2)C1C(O)=O",1
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2322","CCCC[Sn](Cl)(CCCC)CCCC",0
"2653","CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC",0
"2728","OC1=C(Br)C=C(C=C1Br)C#N",0
"2787","COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"2878","NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1",0
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",1
"3223","CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C",1
"3681","O=C1NSC2=C1C=CC=C2",0
"4138","CCN(CC)C(=O)C1=CC(=C(C=C1N(CC)CCN(C)C)N1CCC(CC1)C1=CC=CC=C1)S(=O)(=O)CC1=CC=CC=C1",0
