"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"13","Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"27","C=CCN=C=S",0
"29","CCCCCCCCCCCCCCCC(O)=O",1
"39","OCCC1=CC=CC=C1",0
"42","NC(=O)NC1=CC=CC=C1",0
"44","OC(=O)CS",0
"52","NC=O",0
"58","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O",0
"61","CCO[Si](CC)(OCC)OCC",0
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O",0
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1",0
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",0
"78","O=C1NS(=O)(=O)C2=C1C=CC=C2",0
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",0
"100","OC1=CC=CC=C1C=O",0
"102","COC1=C(O)C=CC=C1",0
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",0
"109","CC(=O)C1=CC2=CC=CC=C2C=C1",0
"111","CCOC(=O)C1=CC=C(C)C=C1",0
"112","CCOC(=O)C1=CC=C(N)C=C1",0
"124","ClC(Cl)(Cl)C1=CC=CC=C1",0
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1",0
"154","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",0
"155","CCCCOCC1CO1",0
"160","[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O",0
