"","SMILES","Type"
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"425","N=C(NC1=CC=CC=C1)NC1=CC=CC=C1",1
"949","C\C=C\C=C\C(O)=O",1
"1070","ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1",1
"1146","CCCCCCCCCCCCCO",0
"1172","CCSC(=O)N(CC)C1CCCCC1",0
"1293","COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C1/SC(=O)N2CCCCN12",0
"1441","O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1",1
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"1647","CCCCCCCC(O)=O",0
"1772","CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O",0
"2154","CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1=C(ON=C1)C1CC1",0
"2173","COP(=O)(OC)O\C(C)=C\C(=O)N(C)C",0
"2211","CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1",1
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",1
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",0
"2728","OC1=C(Br)C=C(C=C1Br)C#N",0
"2853","CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O",0
"2878","NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1",0
"2965","ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1",0
"2975","NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2",1
"3027","CNCC1=CC=C(NC(=O)C2=CNC3=C2C(=O)CCC3)C=C1",1
"3046","COCC1=NN=C(N1C1=C(Cl)C(Cl)=CC2=C1NC(=O)C(=O)N2)C1=C[N+]([O-])=CC=C1",0
"3080","CCSC(=O)N(CC(C)C)CC(C)C",0
"3113","CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F",0
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",1
"3281","CCOC1=NC2=C(NC=C(C(=O)NCC3=CC=CC=C3)C2=O)C=C1",0
"3659","CN1SC(Cl)=CC1=O",0
"3783","CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"3811","CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C",0
"3901","COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O",0
"3906","BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1",1
"3908","NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2",0
"4165","[Na+].[Na+].CCCCC1=NC2=C(C=C1)[C@@H]([C@H]([C@@H]2C1=CC=C(OC)C=C1C[C@H](C)C([O-])=O)C([O-])=O)C1=CC2=C(OCO2)C=C1",0
"4194","CCCCCCCCCC(O)=O",1
"4218","OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1",0
"4289","CCN1N=C(C)C2=C1C(=O)NCC(=N2)C1=CC=C(O)C=C1",0
"4572","CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C",0
"4778","CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O",0
"4941","C1CC=CCCC=CCCC=C1",0
"4971","CC1=CC=C(N)C(N)=C1",0
"5512","NC1=NC(N)=C2N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1",0
"5576","CCN(CC)N=O",0
"5780","[Na+].CCC1(C(=O)NC([O-])=NC1=O)C1=CC=CC=C1",0
"6055","CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O",0
"6408","CCN(CC1=C(Cl)C=CC=C1F)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O",0
"6476","CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1",1
"6587","COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(Cl)C=CC=C2)=N1",1
"6772","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C",1
"6834","Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2",0
"6858","NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl",1
"7092","CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1",1
