"","SMILES","Type"
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"393","BrC1=CC=C(OC2=CC=CC=C2)C=C1",0
"500","C1=CC=C(C=C1)N=NC1=CC=CC=C1",0
"589","CCCCCCCCCC1=CC=C(O)C=C1",0
"693","CC(C)=CCC\C(C)=C/CO",0
"707","CC1=CC=C(Cl)C=C1",1
"711","ClC1=CC=C(Cl)C=C1",0
"712","NC1=CC=C(Cl)C=C1",0
"949","C\C=C\C=C\C(O)=O",1
"1018","ClCCOCCCl",1
"1048","CCCCCCCCCCCC(=O)OC",1
"1074","[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1076","[Cl-].CCCCCCCCCCCC[N+](C)(C)C",0
"1112","OC(=O)CCCCCCCCC=C",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1371","CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl",0
"1488","COC1=C(O)C=CC(C=O)=C1",1
"1647","CCCCCCCC(O)=O",0
"1660","CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)CC1=CC=CC2=C1C=CO2",0
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1868","CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1",0
"1929","[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-]",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",0
"2094","COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1",0
"2154","CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1=C(ON=C1)C1CC1",0
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",1
"2406","CCCCC(CC)C(O)=O",0
"2766","O[C@@H]1[C@@H](COC2=CC(O)=CC=C12)N1CCC(O)(CC1)C1=CC=C(F)C=C1",0
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"2878","NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1",0
"3140","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"3143","C1=CC2=C(C=C1)C1=CC3=C(C=CC=C3)C3=C1C2=CC=C3",1
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",0
"3185","CC(C)(O)C1=COC(=C1)S(=O)(=O)NC(=O)NC1=C2CCCC2=CC2=C1CCC2",0
"3186","CSC1=NN=C(C(=O)N1N)C(C)(C)C",0
