"","SMILES","Type"
"20","CN1CCC[C@H]1C1=CN=CC=C1",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",0
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",0
"1070","ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1",1
"1076","[Cl-].CCCCCCCCCCCC[N+](C)(C)C",1
"1293","COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C1/SC(=O)N2CCCCN12",0
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",1
"1647","CCCCCCCC(O)=O",1
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",0
"1713","COC(=O)C1=C(C(C)=CC=C1)S(=O)(=O)NC(=O)NC1=NC(=NC(OCC(F)(F)F)=N1)N(C)C",0
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",0
"1978","CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N",1
"2064","[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1",1
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2376","CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)C1=CC(Cl)=CC(Cl)=C1",0
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",1
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",0
"2604","CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl",0
"2878","NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1",1
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",1
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",1
"3186","CSC1=NN=C(C(=O)N1N)C(C)(C)C",1
"3187","CN\C(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O",1
"3484","[Cl-].C[N+]1(C)CCCCC1",1
"3600","FC1=CC=C(CC2CCN(CCS(=O)C3=CC=C4NC(=O)OC4=C3)CC2)C=C1",1
"3617","Cl.CCCOC(=O)NCCCN(C)C",1
"3636","[Na+].[Na+].COC1=C(C=C(C)C(=C1)S([O-])(=O)=O)\N=N\C1=C2C=CC(=CC2=CC=C1O)S([O-])(=O)=O",1
"3906","BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1",1
"4159","CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1",0
"4205","CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O",0
"4877","O=C(N[C@H]1CN2CCC1CC2)C1=CC2=C(OC=C2)C=N1",1
"5253","CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1",1
"5279","CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1",0
"5294","O=C(N[C@H]1CN2CCC1CC2)C1=CC2=C(OCCO2)C=C1",1
"5600","OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1",0
"5996","OC(=O)C1=CC=CN=C1",0
"6716","O.O.O.[Na+].CNC([S-])=S",0
"6834","Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2",1
"7092","CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1",0
"7173","C[As](C)(O)=O",0
"7641","Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1",1
"7702","CN1C=NC2=C1C(=O)NC(=O)N2C",1
"8150","NCCOCCOCCN",0
"8346","S=C1NCCN1",0
"8531","[Br-].[Br-].[2H]C1([2H])[N+]2=C(C=CC=C2)C2=[N+](C=CC=C2)C1([2H])[2H]",0
"8552","CNS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N1CCC(CCN2C3CCC2CC(C3)N2C(C)=NC3=C2C=CC=C3)(CC1)C1=CC(F)=CC=C1",0
"8558","Cl.COC1=CC=CC(=C1)C1=C(Cl)C=C(\C=C/CN2CCCCCC2)C=C1",1
"8561","Cl.COC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CC(=O)N[C@H](CC1=CC=C(CN2[C@@H](C)CCC[C@H]2C)C=C1)C(=O)N(C)C(C)C)C1=CC2=C(OCO2)C=C1",0
"8563","CCOC(=O)[C@@]1(OC2=CC=CC=C2[C@@H]1N)C1=CC=CC=C1",0
