"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",1
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",1
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"294","Cl[Dy](Cl)Cl",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",1
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",1
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",1
"379","C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1",1
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"455","COP(N)(=O)SC",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",0
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"649","C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C",0
"665","CC1=CC(C)=C(O)C=C1",0
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",1
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",0
"713","OC1=CC=C(Cl)C=C1",1
"843","CCCCCCCOC(=O)C1=CC=C(O)C=C1",1
"892","CCCCNC(=S)NCCCC",1
"938","CCCCCCCC\C=C/CCCCCCCC(=O)N(C)CC(O)=O",1
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",1
"1063","COC(=O)CCCC(=O)OC",0
"1103","FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1",1
"1105","CCCCCCCCCCO",0
"1133","Cl.CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1",1
"1141","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC",1
"1150","OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2",0
"1172","CCSC(=O)N(CC)C1CCCCC1",0
"1175","CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O",0
"1228","ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl",0
"1230","OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl",0
"1235","OC1=C(Br)C=C(C=C1Br)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=CC(Br)=C(O)C(Br)=C1",1
"1249","O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1",1
"1258","CNC(=O)ON=CC(C)(C)SC",0
"1293","COC(=O)CSC1=C(Cl)C=C(F)C(=C1)\N=C1/SC(=O)N2CCCCN12",0
"1298","CO\C=C(\C(=O)OC)C1=C(COC2=NC(=CC=C2)C(F)(F)F)C=CC=C1",1
"1303","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F",0
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",0
"1306","ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O",1
"1307","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC",1
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",0
"1395","ClC1=CC=CC(Cl)=C1C#N",0
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N",0
"1421","C1=CC2=CC3=C(C=CC=C3)C=C2C=C1",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1443","O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1",1
"1495","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1",1
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",1
"1521","CCCCCCCCOC(=O)C1=CC=C(O)C=C1",0
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",1
"1543","CCNC1=NC(NCC)=NC(Cl)=N1",1
"1548","CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1",1
"1603","CCOC(=O)CCC(=O)OCC",0
"1607","CC1=NNC(=O)N(C1)\N=C\C1=CC=CN=C1",0
"1609","OC1=CC=C(O)C=C1",0
"1620","CC(C)CCO",1
"1654","CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1",1
"1658","[Mn++].[S-]C(=S)NCCNC([S-])=S",0
"1717","BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr",1
"1718","CCCCOP(=O)(OCCCC)OCCCC",1
"1721","CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1",1
"1772","CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O",1
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",0
"1788","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1",0
"1836","COC(=O)C1=C(C=CC=C1)C(=O)OC",0
"1839","C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C",1
"1842","FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N",0
"1853","CCCCOC(=O)C1=C(C=CC=C1)C(O)=O",0
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",1
"1867","CCCSP(=O)(OCC)SCCC",1
"1869","[Na+].CC1=CC=C(N=NC2=C(O)C=CC(N=NC3=CC=C(C=C3)S([O-])(=O)=O)=C2O)C(C)=C1",1
"1897","ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",0
"1898","ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O",0
"1902","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",1
