"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",1
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",1
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",1
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1",1
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",1
"374","CC(C)OC(=O)NC1=CC=CC(Cl)=C1",1
"379","C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1",1
"455","COP(N)(=O)SC",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",0
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"649","C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C",0
"665","CC1=CC(C)=C(O)C=C1",0
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",1
"784","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",1
