"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"455","COP(N)(=O)SC",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",1
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",0
"1046","CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1",1
"1103","FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1",1
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",0
"1175","CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O",0
"1197","OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1",1
"1228","ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl",0
"1230","OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl",0
"1258","CNC(=O)ON=CC(C)(C)SC",0
"1303","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F",0
"1307","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",0
"1395","ClC1=CC=CC(Cl)=C1C#N",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",1
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",1
"1543","CCNC1=NC(NCC)=NC(Cl)=N1",0
"1545","N(C1=CC=CC=C1)C1=CC=CC=C1",0
"1603","CCOC(=O)CCC(=O)OCC",0
"1636","CC(C)CCOC(C)=O",0
"1703","OCC(CO)(CO)[N+]([O-])=O",0
"1721","CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1",0
"1788","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1",0
"1836","COC(=O)C1=C(C=CC=C1)C(=O)OC",0
"1842","FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N",0
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1853","CCCCOC(=O)C1=C(C=CC=C1)C(O)=O",0
"1861","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",0
"1867","CCCSP(=O)(OCC)SCCC",0
"1897","ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",0
"1898","ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O",0
"1902","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",0
