"","SMILES","Type"
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",1
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",1
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",1
"112","CCOC(=O)C1=CC=C(N)C=C1",0
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1",1
"162","OC1=C(CC2=C(O)C=CC=C2)C=CC=C1",1
"169","[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=CC2=CC(NC(=O)C3=CC=CC=C3)=CC=C12)S([O-])(=O)=O",1
"218","[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"275","NC1=CC=C(C=C1)[N+]([O-])=O",1
"294","Cl[Dy](Cl)Cl",1
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",0
"438","CCNC1=CC(C)=CC=C1",0
"467","CCCCN(CCCC)CCCC",0
"576","CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O",1
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"659","O=C1CCCCCN1",0
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",1
"692","CC(C)=CCC\C(C)=C\CO",0
"693","CC(C)=CCC\C(C)=C/CO",0
"715","NC1=CC=C(N)C=C1",1
"731","COCCO[Si](OCCOC)(OCCOC)C=C",0
"784","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",1
"876","CN1CCOCC1",0
"927","CC(C)CCC(C)=O",0
"941","CCCCCCOC(=O)CCCCC(=O)OCCCCCC",0
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",1
"1053","CCCC[Sn](Cl)(Cl)Cl",1
"1071","COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1",0
"1103","FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1",1
"1139","OCCOCCOCCOCCO",0
"1141","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC",1
"1153","N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N",1
"1235","OC1=C(Br)C=C(C=C1Br)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=CC(Br)=C(O)C(Br)=C1",1
"1262","ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)CC(Br)CO1",1
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",1
"1413","COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1",1
"1414","CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1436","CCOC(=O)C1=CC=C(O)C=C1",0
"1470","COC1=CC=C(O)C(=C1)C(C)(C)C",1
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",1
"1572","O=CCC1=CC=CC=C1",1
"1678","C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO",1
"1680","CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1",1
"1683","CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1",1
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",0
"1774","NC1=CC=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O",1
"1777","[Na+].CC(=O)CC(C1=CC=CC=C1)C1=C([O-])C2=CC=CC=C2OC1=O",0
"1782","[Na+].CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=CC=C(C=C1S([O-])(=O)=O)S([O-])(=O)=O",1
"1788","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=C3C=CC(O)=C1",1
"1839","C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C",1
"1848","OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O",1
"1849","OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1",1
"1868","CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1",1
"1869","[Na+].CC1=CC=C(N=NC2=C(O)C=CC(N=NC3=CC=C(C=C3)S([O-])(=O)=O)=C2O)C(C)=C1",1
"1880","CC(C)CCCC(C)(C)O",0
"1896","CCN(CCC#N)C1=CC=C(C=C1)N=NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O",1
"1902","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",1
"1925","FC1=CC=C(C=C1)C1(CN2C=NC=N2)OC1C1=C(Cl)C=CC=C1",0
"1927","O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2",1
"1944","[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1",1
"1969","CSC(=O)C1=CC=CC2=C1SN=N2",1
"1972","[NH4+].[O-]N(N=O)C1=CC=CC=C1",0
"2015","ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl",1
"2017","CCCCCCC1=C(O)C=C(O)C=C1",0
"2023","CCOC(=O)NC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1",0
"2053","CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O",0
"2065","OCC1=CC=CC(OC2=CC=CC=C2)=C1",1
