"","SMILES","Type"
"29","CCCCCCCCCCCCCCCC(O)=O",0
"30","CCCCCCCCCCCCCCCCCC(O)=O",1
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"66","NC(=O)C=C",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",0
"109","CC(=O)C1=CC2=CC=CC=C2C=C1",0
"123","CC(C)(C)C1=CC=CC=C1",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"310","CCN(CC)CCO",0
"331","N#CC1=CN=CC=C1",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"394","CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1",0
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",0
"414","CCCCCCC(C=O)=CC1=CC=CC=C1",0
"425","N=C(NC1=CC=CC=C1)NC1=CC=CC=C1",0
"488","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC",0
"500","C1=CC=C(C=C1)N=NC1=CC=CC=C1",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"605","C(COC1=CC=CC=C1)OC1=CC=CC=C1",0
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",0
"661","CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O",0
"665","CC1=CC(C)=C(O)C=C1",0
"677","CCCCOC(=O)CCCCC(=O)OCCCC",0
"685","[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O",0
"690","CC(CCO)CCC=C(C)C",0
"723","CCCCCC(=O)CC",0
"727","CCC[Si](OC)(OC)OC",0
"843","CCCCCCCOC(=O)C1=CC=C(O)C=C1",0
"891","CCCCOC(=O)CCCCCCCCC(=O)OCCCC",0
"907","N#CCC#N",0
"937","CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1",0
"938","CCCCCCCC\C=C/CCCCCCCC(=O)N(C)CC(O)=O",0
"984","CC(O)CNCC(C)O",0
"1004","CCCCCCO",0
"1007","O=CCCCC=O",0
"1023","C1CCCNCC1",0
"1028","CCCCCCCC\C=C/CCCCCCCC(=O)OCC",0
"1074","[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O",0
"1081","CCCCCCCCC(O)=O",0
"1105","CCCCCCCCCCO",1
"1112","OC(=O)CCCCCCCCC=C",0
"1123","CCCCCCCCCCCO",0
"1133","Cl.CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1",1
"1139","OCCOCCOCCOCCO",0
"1141","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC",0
"1146","CCCCCCCCCCCCCO",0
"1148","CCCCCCCCCCCCCCO",0
"1150","OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2",0
"1152","CCCCCCCC\C=C/CCCCCCCC(O)=O",1
"1249","O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1",0
"1296","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1",0
"1298","CO\C=C(\C(=O)OC)C1=C(COC2=NC(=CC=C2)C(F)(F)F)C=CC=C1",0
"1307","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC",0
"1351","OC1=C(Br)C=C(Br)C=C1Br",0
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O",1
"1413","COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1436","CCOC(=O)C1=CC=C(O)C=C1",0
"1457","OC1=C(O)C=CC=C1",0
"1460","OC1=C(Cl)C=C(Cl)C=C1",0
"1466","CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC",0
"1470","COC1=CC=C(O)C(=C1)C(C)(C)C",0
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",0
"1509","CCCOC(=O)C1=CC(O)=C(O)C(O)=C1",0
"1546","CCCCCC(C=O)=CC1=CC=CC=C1",1
"1565","N(NC1=CC=CC=C1)C1=CC=CC=C1",0
"1598","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1",0
"1609","OC1=CC=C(O)C=C1",0
"1647","CCCCCCCC(O)=O",1
"1651","CCCCCCCC=O",0
"1653","CCCCCCCCCC",1
"1687","[Na+].COC1=CC(OC)=NC(OC2=CC=CC(OC3=NC(OC)=CC(OC)=N3)=C2C([O-])=O)=N1",0
"1699","CC(CCC(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"1717","BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr",0
"1718","CCCCOP(=O)(OCCCC)OCCCC",0
"1775","C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1",0
"1839","C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C",0
"1885","S1C2=C(C=CC=C2)C2=C1C=CC=C2",0
"1902","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F",0
"1924","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O",1
"1927","O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2",0
"1967","NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2",1
"2017","CCCCCCC1=C(O)C=C(O)C=C1",0
"2065","OCC1=CC=CC(OC2=CC=CC=C2)=C1",0
"2094","COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1",0
"2110","OCCN(CCO)CCO.CCCCCCCCCCCCOS(O)(=O)=O",1
"2122","NCCN1CCNCC1",0
"2137","COC1=CC=C(CC=C)C=C1",0
"2150","OCNC(=O)NCO",0
"2152","CC(C)COC(=O)CCCCC(=O)OCC(C)C",0
"2161","CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O",1
"2178","CC(C)=CC(C)=O",0
"2190","Cl.NC1=CC=CC=C1",0
"2237","CCCCOCCOCCOCCO",0
"2253","ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl",0
"2254","[Na+].CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C([O-])=O)[C@H]2CC1",0
"2308","OC(=O)C1C2CCC(O2)C1C(O)=O",0
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",0
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2323","CCCC[Sn](CCCC)(CCCC)CCCC",0
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",1
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",1
"2397","SC1=NC2=C(S1)C=CC=C2",0
"2406","CCCCC(CC)C(O)=O",1
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",1
"2513","NC1=NC2=C(NC=N2)C(=S)N1",0
"2534","CCCCC(CC)COCCO",0
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",0
"2572","CC1=C(O)C=CC(Cl)=C1",0
"2588","O[C@@H]1[C@@H](CC2=CC=C(C=C2)C2=CC=CC=C2)COC2=C1C=CC(=C2)C1(CCCC1)C(O)=O",0
"2640","CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1",0
"2709","CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1",0
"2728","OC1=C(Br)C=C(C=C1Br)C#N",0
"2766","O[C@@H]1[C@@H](COC2=CC(O)=CC=C12)N1CCC(O)(CC1)C1=CC=C(F)C=C1",1
"2835","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"2889","CCCCCCCCC1=CC=C(O)C=C1",0
"2899","Cl.CN(C)C(=O)NC1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC(F)=C(F)C=C2)CC1)C1=CC=CC=C1",0
"2919","[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1",0
"2923","CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1",0
"2943","COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl",0
"2945","O[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C1=CC2=CC(Cl)=CC=C2N1)C(=O)N1C[C@H](O)[C@H](O)C1",0
"2984","CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O",1
"2986","CCCCNS(=O)(=O)C1=CC=C(C)C=C1",0
"3018","[Na+].[Na+].OC1=C(\N=N\C2=CC=CC=C2)C2=C(C=C(C=C2C=C1)S([O-])(=O)=O)S([O-])(=O)=O",0
"3034","CC(C)(C)C1=CC(O)=CC=C1O",0
"3045","CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1",1
"3069","CCC1=NN(C2CCCCC2)C2=C1C=CC(=C2)[C@]1(CC[C@@H](CC1)C(O)=O)C#N",0
"3082","Cl.CC1=CC2=C(C=C1C(F)(F)F)N(CC2)C(=O)NC1=CC=C(OC2=CC=CN=C2C)N=C1",0
"3105","Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1",1
"3140","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"3143","C1=CC2=C(C=C1)C1=CC3=C(C=CC=C3)C3=C1C2=CC=C3",0
"3185","CC(C)(O)C1=COC(=C1)S(=O)(=O)NC(=O)NC1=C2CCCC2=CC2=C1CCC2",0
"3216","CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"3221","CCCOC1=C(C=C(C=C1)S(=O)(=O)N1CCN(CC)CC1)C1=NC2=C(CC)N(CC3=CC=CC=N3)N=C2C(=O)N1",0
"3223","CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C",0
"3295","OC(=O)C(F)(F)F.COC1=CC(C2=C(CCC3CCCCC3)SC(NC(=O)C3=CC4=CC(C)=CC(C)=C4N3CC(O)=O)=N2)=C(OC)C=C1Cl",0
"3306","COP(=O)(OC)O\C(=C/Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1",0
"3328","NC1=CC=CC2=C(N)C=CC=C12",0
"3372","ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1",0
"3465","O[N+]([O-])=O.ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1",1
"3487","CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC",0
"3488","OC1CCC(CC1)C1CCCCC1",0
"3502","CC1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1",0
"3557","[Na+].[S-]C1=NC2=CC=CC=C2S1",0
"3558","CS(O)(=O)=O.CC1=NC=CN1C1=CC=C(SC2=CC=CC(=C2)C2(CCOCC2)C(N)=O)C=C1",0
"3590","OC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1",0
"3600","FC1=CC=C(CC2CCN(CCS(=O)C3=CC=C4NC(=O)OC4=C3)CC2)C=C1",0
"3660","CC[C@@H]1C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=C(C=CC(=C2)C(F)(F)F)N1C(=O)OC(C)C",0
"3668","OC12N=C(SC1CC1=CC(Cl)=CC=C21)C1=CC=CC=C1",1
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",0
"3720","CC1=C(N)C(N)=CC=C1",0
"3736","CCCCN(CCCC)CCCCCCN(CCCC)CCCC",0
"3760","CCCCC[Si](OCC)(OCC)OCC",0
"3766","CC(C)(C1=CC=CC=C1)C1=CC(=C(O)C=C1)C(C)(C)C1=CC=CC=C1",0
"3782","[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1
