"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"20","CN1CCC[C@H]1C1=CN=CC=C1",0
"29","CCCCCCCCCCCCCCCC(O)=O",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",1
"44","OC(=O)CS",0
"45","CN(C)C=O",0
"58","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O",0
"61","CCO[Si](CC)(OCC)OCC",0
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O",0
"66","NC(=O)C=C",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",1
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",0
"111","CCOC(=O)C1=CC=C(C)C=C1",0
"112","CCOC(=O)C1=CC=C(N)C=C1",1
"162","OC1=C(CC2=C(O)C=CC=C2)C=CC=C1",1
"166","C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C",0
"169","[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=CC2=CC(NC(=O)C3=CC=CC=C3)=CC=C12)S([O-])(=O)=O",0
"178","CC(C)C1=CC(C(C)C)=C(O)C=C1",0
"252","[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O",1
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"272","[O-][N+](=O)C1=CC=C(Cl)C=C1",0
"276","OC1=CC=C(C=C1)[N+]([O-])=O",0
"294","Cl[Dy](Cl)Cl",0
"317","CCCCCC(CO)CCC",0
"327","OCC1=CC=CC=C1",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"355","CCCC(=O)OC(C)(C)CC1=CC=CC=C1",1
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",1
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",0
"394","CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",0
"414","CCCCCCC(C=O)=CC1=CC=CC=C1",0
"455","COP(N)(=O)SC",0
"467","CCCCN(CCCC)CCCC",0
"480","ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl",0
"488","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC",0
"500","C1=CC=C(C=C1)N=NC1=CC=CC=C1",0
"501","C1CN(CCO1)SSN1CCOCC1",0
"509","CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"539","OCCN1CCNCC1",0
"589","CCCCCCCCCC1=CC=C(O)C=C1",0
"590","CCCCCCCCCCCCC1=CC=C(O)C=C1",0
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",1
"601","CCCCCC1CCC(=O)O1",0
"611","CCCCC(CC)CO",1
"612","[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1",1
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"649","C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C",0
"651","CCOC(=O)CC(=O)OCC",0
