"","SMILES","Type"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"118","C1OC1C1=CC=CC=C1",1
"121","O=CC1=CC=CO1",0
"275","NC1=CC=C(C=C1)[N+]([O-])=O",0
"310","CCN(CC)CCO",1
"327","OCC1=CC=CC=C1",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"357","C1N2CN3CN1CN(C2)C3",0
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"455","COP(N)(=O)SC",0
"532","CCCC1=CC=CC=C1",0
"554","CC(=O)NC1=CC=C(O)C=C1",1
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",0
"665","CC1=CC(C)=C(O)C=C1",0
"695","CCCC(=O)OCCC(C)C",1
"698","CCCCCCC(=O)OCC",0
"722","COC(=O)CCC(=O)OC",0
"845","COC(=O)CC(=O)OC",0
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",0
"992","CCCCCCC(O)=O",0
"1046","CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1",1
"1079","CCCCCCCCCCCCC=C",0
"1103","FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1",0
"1134","CCCCCCCCCCCCO",0
"1150","OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2",0
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",0
"1175","CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O",0
"1228","ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl",0
"1230","OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl",0
"1258","CNC(=O)ON=CC(C)(C)SC",0
"1303","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F",0
"1307","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC",0
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",0
"1395","ClC1=CC=CC(Cl)=C1C#N",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1436","CCOC(=O)C1=CC=C(O)C=C1",0
"1460","OC1=C(Cl)C=C(Cl)C=C1",0
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",0
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",1
"1543","CCNC1=NC(NCC)=NC(Cl)=N1",0
"1545","N(C1=CC=CC=C1)C1=CC=CC=C1",0
"1598","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1",0
"1636","CC(C)CCOC(C)=O",0
"1647","CCCCCCCC(O)=O",0
"1651","CCCCCCCC=O",0
"1653","CCCCCCCCCC",0
"1678","C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO",0
"1721","CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1",0
