"","SMILES","Type"
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",1
"39","OCCC1=CC=CC=C1",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",1
"44","OC(=O)CS",0
"45","CN(C)C=O",0
"61","CCO[Si](CC)(OCC)OCC",0
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1",0
"78","O=C1NS(=O)(=O)C2=C1C=CC=C2",0
"111","CCOC(=O)C1=CC=C(C)C=C1",0
"123","CC(C)(C)C1=CC=CC=C1",0
"162","OC1=C(CC2=C(O)C=CC=C2)C=CC=C1",0
"166","C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C",0
"169","[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=CC2=CC(NC(=O)C3=CC=CC=C3)=CC=C12)S([O-])(=O)=O",1
"178","CC(C)C1=CC(C(C)C)=C(O)C=C1",0
"200","[K+].[O-][Cl](=O)=O",0
"204","CCCCCCC(CO)CCCC",0
"218","[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C",1
"228","CCC1=C(O)C(=O)C=CO1",0
"256","CCC(=O)C1=CC=C(Cl)C=C1",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"294","Cl[Dy](Cl)Cl",0
"331","N#CC1=CN=CC=C1",0
"383","CN(C)C(=O)NC1=CC=CC=C1",0
