"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"42","NC(=O)NC1=CC=CC=C1",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",0
"61","CCO[Si](CC)(OCC)OCC",0
"66","NC(=O)C=C",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"218","[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C",1
"252","[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O",1
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",0
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1
"294","Cl[Dy](Cl)Cl",1
"331","N#CC1=CN=CC=C1",0
"343","CCNC1=NC(N)=NC(Cl)=N1",0
"372","COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1",0
"379","C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1",0
"394","CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1",0
"455","COP(N)(=O)SC",0
"590","CCCCCCCCCCCCC1=CC=C(O)C=C1",0
"597","CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C",0
"644","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",0
"677","CCCCOC(=O)CCCCC(=O)OCCCC",0
"737","CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12",0
"753","O=C(CCCCCCCCC1=CN=CC=C1)N1CCC(CC1)C=C(C1=CC=CC=C1)C1=CC=CC=C1",0
"891","CCCCOC(=O)CCCCCCCCC(=O)OCCCC",0
"938","CCCCCCCC\C=C/CCCCCCCC(=O)N(C)CC(O)=O",0
"951","COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1",0
"1035","N#CCCCCC#N",0
"1053","CCCC[Sn](Cl)(Cl)Cl",0
"1070","ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1",0
"1075","[Na+].CCCCCCCCCCCCCCCCCCOS([O-])(=O)=O",0
"1102","OCCOCCOCCO",0
"1107","CCCCOCCOCCO",0
"1152","CCCCCCCC\C=C/CCCCCCCC(O)=O",0
"1166","OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl",0
"1175","CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O",0
"1196","COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O",0
"1228","ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl",0
"1230","OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl",0
"1258","CNC(=O)ON=CC(C)(C)SC",0
"1280","CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1",1
"1307","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC",0
"1320","CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1",0
"1395","ClC1=CC=CC(Cl)=C1C#N",0
"1398","CCC(C)OC(=O)N1CCCCC1CCO",0
"1414","CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1",0
"1417","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",0
"1429","CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O",0
"1453","COC1=CC=C(C)C=C1N",0
"1460","OC1=C(Cl)C=C(Cl)C=C1",0
"1495","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1",0
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC",0
"1521","CCCCCCCCOC(=O)C1=CC=C(O)C=C1",0
"1532","COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O",0
"1543","CCNC1=NC(NCC)=NC(Cl)=N1",0
"1576","CC1=NN(C(=O)N1C(F)F)C1=CC(NS(C)(=O)=O)=C(Cl)C=C1Cl",0
