"","SMILES","Type"
"2","CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"20","CN1CCC[C@H]1C1=CN=CC=C1",0
"22","[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O",1
"30","CCCCCCCCCCCCCCCCCC(O)=O",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"49","OC(=O)C1=CC=C(Cl)C=C1",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",1
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O",0
"72","CC(C)(C1CCC(O)CC1)C1CCC(O)CC1",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"74","CC(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",0
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1",0
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",0
"87","C1=CC=C2C(C=CC3=C2C=CC=N3)=C1",0
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",0
"90","NC1=CC2=C(C=C1)C(O)=CC(=C2)S(O)(=O)=O",0
"91","OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1",0
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"102","COC1=C(O)C=CC=C1",0
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",0
"112","CCOC(=O)C1=CC=C(N)C=C1",0
"123","CC(C)(C)C1=CC=CC=C1",0
"124","ClC(Cl)(Cl)C1=CC=CC=C1",0
"134","BrC1=C(C=CC=C1)C1=CC=CC=C1",0
"137","C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C1CO1",0
"147","C=CC(=O)OCCOC(=O)C=C",0
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1",1
"155","CCCCOCC1CO1",0
"162","OC1=C(CC2=C(O)C=CC=C2)C=CC=C1",0
"163","OCCCCOC(=O)C=C",0
"166","C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C",0
"178","CC(C)C1=CC(C(C)C)=C(O)C=C1",0
"179","CC1(C)COP(OC2=CC=CC=C2)OC1",0
"195","CC(=O)CCC1=CC=C(OC(C)=O)C=C1",0
"218","[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C",1
"226","OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC(=CC=C1)C(F)(F)F",0
"247","CC(C)OC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",0
"252","[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O",0
"264","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O",1
"271","[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",0
"275","NC1=CC=C(C=C1)[N+]([O-])=O",0
"277","CC1=CC(=O)NO1",0
"279","CN(C)C1=CC=C(C=O)C=C1",0
"283","OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O",1
"295","Cl[In](Cl)Cl",0
"297","Cl[Sb](Cl)Cl",0
"318","OB(O)O",0
"323","N#CC1=CC=CC=C1",0
"333","Cl[Hg]C1=CC=CC=C1",0
"349","CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1",1
"361","O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1",1
"365","[Cl-].[Cl-].[Cd++]",0
"367","CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=CC=C1",0
"373","ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1",0
"377","ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1",0
