"","SMILES","Type"
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"404","NC1=CC=C(CC2=CC=C(N)C=C2)C=C1",0
"406","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1",0
"425","N=C(NC1=CC=CC=C1)NC1=CC=CC=C1",0
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"898","Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1",1
"937","CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1",0
"1413","COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1",0
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1495","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1",1
"1583","CCS(=O)(=O)C1=CC=CN=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1",0
"1603","CCOC(=O)CCC(=O)OCC",0
"1653","CCCCCCCCCC",0
"1741","C(CC1=CC2=C(OCO2)C=C1)N1CCC[C@H](C1)OC(C1=CC=CC=C1)C1=CC=CC=C1",1
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1839","C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C",1
"1947","CN1C(=O)N(C(=O)C=C1C(F)(F)F)C1=CC(C(=O)OC(C)(C)C(=O)OCC=C)=C(Cl)C=C1",0
"1971","OC1=CC2=C(C=CC=C2)C=C1",1
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",0
"2309","COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1",1
"2322","CCCC[Sn](Cl)(CCCC)CCCC",1
"2351","Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1",1
"2381","N1C2=C(C=CC=C2)N=C1C1=CSC=N1",0
"2391","Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1",1
"2486","IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1",0
"2535","CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3",0
"2766","O[C@@H]1[C@@H](COC2=CC(O)=CC=C12)N1CCC(O)(CC1)C1=CC=C(F)C=C1",0
"2860","CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2",0
"2878","NC(=O)N(O)[C@H]1C[C@@H](OC2=CC=CC(OC3=CC=C(F)C=C3)=C2)C=C1",0
"2883","Cl.CCN1CCC2(COC3=C2C=C2N(CCC2=C3)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2C)C2=NN=C(C)O2)CC1",0
"3105","Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1",0
"3162","CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1",0
"3223","CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C",1
"3484","[Cl-].C[N+]1(C)CCCCC1",0
"3689","CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1",1
"3895","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl",0
"3901","COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O",0
"4218","OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1",1
"4289","CCN1N=C(C)C2=C1C(=O)NCC(=N2)C1=CC=C(O)C=C1",0
"4321","ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C",1
"4362","CO\N=C(\C1=NOCCO1)C1=C(OC2=C(F)C(OC3=C(Cl)C=CC=C3)=NC=N2)C=CC=C1",0
"4417","CC[C@H]1CC[C@H](NCC2=CC3=C(C=C2OC)[C@H]2C[C@H]2C(=O)N3C)[C@@H](N1)C1=CC=CC=C1",1
"4600","CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C",1
"4731","COS([O-])(=O)=O.CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1",0
"5035","OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1",1
"5256","CC1=C(SCCO1)C(=O)NC1=CC=CC=C1",1
"5302","OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1",1
"5316","CC1=CC(C)=NC(NC2=CC=CC=C2)=N1",1
"5669","CS(=O)(=O)OCCCCOS(C)(=O)=O",0
"5807","C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@]2(O)C#C",1
"5846","CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1",1
"6714","OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1",0
"6834","Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2",1
"6878","OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O",0
