"","SMILES","Type"
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"55","OC(=O)C(Cl)(Cl)Cl",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",1
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2",0
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"331","N#CC1=CN=CC=C1",0
"364","ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1",1
"392","NC1=CC=C(NC2=CC=CC=C2)C=C1",1
"395","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O",1
"446","ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl",0
"689","COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1",1
"971","C1CNCCN1",0
"1035","N#CCCCCC#N",0
"1183","CC(CC1=CC=C(OCC(O)=O)C=C1)NCC(O)C1=CSC(=N1)C(F)(F)F",0
"1305","NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1",0
"1307","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC",0
"1332","CC1(C)N(Cl)C(=O)N(Cl)C1=O",0
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1",1
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1",1
"1446","COC(=O)C1=CC=C(C=C1)C(=O)OC",0
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",1
"1495","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1",1
"1772","CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O",0
"1786","Cl.CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1",1
"1842","FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N",0
"1892","CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(C)CC1)=C2O",0
"1927","O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2",0
"1933","COC(=O)C1=C(N)C=CC=C1",0
"2135","OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1",1
"2136","CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1",0
"2253","ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl",0
"2364","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F",1
"2406","CCCCC(CC)C(O)=O",0
"2452","[Na+].CCCCCCCCCCCCOS([O-])(=O)=O",1
"2456","COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(C=C1)S(C)=O)C(F)F",1
"2794","CC1=C(C2=C(O1)C(NC(=O)C1=C(Cl)C=CC=C1Cl)=CC=C2)C(C)(C)O",1
"3223","CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C",1
"3253","ClC1=NC(Cl)=C(Cl)C(Cl)=C1Cl",0
"3372","ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1",0
"3895","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl",1
"4148","OCC(CO)(CBr)CBr",0
"4321","ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C",1
"4408","CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1",0
