"","Type","SMILES.1"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl"
"2","CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C","CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C"
"3","[Br-].C[N+](C)(C)CCO","[Br-].C[N+](C)(C)CCO"
"4","Br.CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1","Br.CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1"
"5","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"
"6","CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C","CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C"
"7","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C"
"8","CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1","CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1"
"9","CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O","CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O"
"10","[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1","[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1"
"11","CCC1(CC)C(=O)NC(=O)N(C)C1=O","CCC1(CC)C(=O)NC(=O)N(C)C1=O"
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC"
"13","Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1","Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1"
"14","CCN(CC)CCNC(=O)C1=CC=C(N)C=C1","CCN(CC)CCNC(=O)C1=CC=C(N)C=C1"
"15","O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1","O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1"
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12"
"17","CC(S)C(=O)NCC(O)=O","CC(S)C(=O)NCC(O)=O"
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO"
"19","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO"
"20","CN1CCC[C@H]1C1=CN=CC=C1","CN1CCC[C@H]1C1=CN=CC=C1"
"21","NC(CC1=CNC2=CC=CC=C12)C(O)=O","NC(CC1=CNC2=CC=CC=C12)C(O)=O"
"22","[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O","[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O"
"23","CC1=CC(=O)NC(=S)N1","CC1=CC(=O)NC(=S)N1"
"24","NC1=NC(Cl)=CC(Cl)=N1","NC1=NC(Cl)=CC(Cl)=N1"
"25","NC1=CC(=O)N=C(N)N1","NC1=CC(=O)N=C(N)N1"
"26","NCCCC(O)=O","NCCCC(O)=O"
"27","C=CCN=C=S","C=CCN=C=S"
"28","CC(=O)NCCCCCC(O)=O","CC(=O)NCCCCCC(O)=O"
"29","CCCCCCCCCCCCCCCC(O)=O","CCCCCCCCCCCCCCCC(O)=O"
"30","CCCCCCCCCCCCCCCCCC(O)=O","CCCCCCCCCCCCCCCCCC(O)=O"
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","CN1C=NC2=C1C(=O)N(C)C(=O)N2C"
"32","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C"
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O"
"34","CCOC1=CC(NC(C)=O)=CC=C1C(=O)OC","CCOC1=CC(NC(C)=O)=CC=C1C(=O)OC"
"35","CCCC(=O)OC(OC(=O)CCC)OC(=O)CCC","CCCC(=O)OC(OC(=O)CCC)OC(=O)CCC"
"36","OS(O)(=O)=O.OS(O)(=O)=O.NC(=N)NCCN1CCCCCCC1","OS(O)(=O)=O.OS(O)(=O)=O.NC(=N)NCCN1CCCCCCC1"
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1"
"38","CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1","CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1"
"39","OCCC1=CC=CC=C1","OCCC1=CC=CC=C1"
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O"
"41","CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O","CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O"
"42","NC(=O)NC1=CC=CC=C1","NC(=O)NC1=CC=CC=C1"
"43","Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N"
"44","OC(=O)CS","OC(=O)CS"
"45","CN(C)C=O","CN(C)C=O"
"46","COC1=CC=CC=C1OCC1CNC(=O)O1","COC1=CC=CC=C1OCC1CNC(=O)O1"
"47","BrCC(=O)C1=CC=CC=C1","BrCC(=O)C1=CC=CC=C1"
"48","CCCCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1","CCCCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1"
"49","OC(=O)C1=CC=C(Cl)C=C1","OC(=O)C1=CC=C(Cl)C=C1"
"50","CC#N","CC#N"
"51","ClCCl","ClCCl"
"52","NC=O","NC=O"
"53","ClC(Cl)C(Cl)(Cl)Cl","ClC(Cl)C(Cl)(Cl)Cl"
"54","ClC(=O)C(Cl)(Cl)Cl","ClC(=O)C(Cl)(Cl)Cl"
"55","OC(=O)C(Cl)(Cl)Cl","OC(=O)C(Cl)(Cl)Cl"
