"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"2","CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C",0
"5","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO",0
"8","CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1",0
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"13","Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"19","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"20","CN1CCC[C@H]1C1=CN=CC=C1",0
"21","NC(CC1=CNC2=CC=CC=C12)C(O)=O",0
"22","[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O",0
"23","CC1=CC(=O)NC(=S)N1",0
"24","NC1=NC(Cl)=CC(Cl)=N1",0
"27","C=CCN=C=S",0
"29","CCCCCCCCCCCCCCCC(O)=O",0
"30","CCCCCCCCCCCCCCCCCC(O)=O",0
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"32","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"38","CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1",1
"39","OCCC1=CC=CC=C1",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"42","NC(=O)NC1=CC=CC=C1",0
"44","OC(=O)CS",0
"45","CN(C)C=O",0
"47","BrCC(=O)C1=CC=CC=C1",0
"49","OC(=O)C1=CC=C(Cl)C=C1",0
"50","CC#N",0
"51","ClCCl",0
"52","NC=O",0
"53","ClC(Cl)C(Cl)(Cl)Cl",0
"54","ClC(=O)C(Cl)(Cl)Cl",0
"55","OC(=O)C(Cl)(Cl)Cl",0
"56","[O-][N+](=O)C(Cl)(Cl)Cl",0
"58","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",0
"61","CCO[Si](CC)(OCC)OCC",0
"62","CCO[Si](OCC)(OCC)OCC",0
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O",0
"64","ClC=C(Cl)Cl",0
"65","ClCC(Cl)=O",0
"66","NC(=O)C=C",0
"68","OC(=O)CBr",0
"71","OC(=O)CCl",0
"72","CC(C)(C1CCC(O)CC1)C1CCC(O)CC1",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"74","CC(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",0
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1",0
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",0
"77","Cl[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1",0
"78","O=C1NS(=O)(=O)C2=C1C=CC=C2",0
"80","OC(=O)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",0
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2",0
"87","C1=CC=C2C(C=CC3=C2C=CC=N3)=C1",0
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",0
"90","NC1=CC2=C(C=C1)C(O)=CC(=C2)S(O)(=O)=O",0
"91","OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1",0
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"93","CCC(CC)C(O)=O",0
"95","O.O.OS(=O)(=O)C1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"97","OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O",0
"98","OC(=O)C1=CC=C(C=C1C(O)=O)S(O)(=O)=O",0
"100","OC1=CC=CC=C1C=O",0
"102","COC1=C(O)C=CC=C1",0
"103","CC1=C(C=CC=C1N=C=O)N=C=O",0
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",0
"106","C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1",0
"108","COC1=CC2=C(C=CC=C2)C=C1",0
"109","CC(=O)C1=CC2=CC=CC=C2C=C1",0
"110","CNCC(O)C1=CC=C(O)C=C1",0
"111","CCOC(=O)C1=CC=C(C)C=C1",0
"112","CCOC(=O)C1=CC=C(N)C=C1",0
"113","CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1",0
"115","CCN(CC)C(=S)SCC(Cl)=C",0
"116","CC(=C)C(=O)OCC=C",0
"117","CC1OC1C1CCC2(C)OC2C1",0
"118","C1OC1C1=CC=CC=C1",0
"119","ClCC(Br)CBr",0
"120","NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"121","O=CC1=CC=CO1",0
"123","CC(C)(C)C1=CC=CC=C1",0
"124","ClC(Cl)(Cl)C1=CC=CC=C1",0
"125","FC(F)(F)C1=CC=CC=C1",0
"126","ClS(=O)(=O)C1=CC=CC=C1",0
"127","OS(=O)(=O)C1=CC=CC=C1",0
"128","CC1=CC=CC(=C1)C(O)=O",0
"129","OC(=O)C1=CC(O)=CC=C1",0
"130","CC1=CC(=CC=C1)[N+]([O-])=O",0
"131","NC1=CC(=CC=C1)[N+]([O-])=O",0
"132","CC1=CC(=CC(C)=C1)[N+]([O-])=O",0
"133","NCCN1CCOCC1",0
"134","BrC1=C(C=CC=C1)C1=CC=CC=C1",0
"136","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"137","C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C1CO1",0
"138","NC1=NC(=CS1)C1=CC=C(C=C1)[N+]([O-])=O",0
"142","CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1",0
"144","CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O",0
"146","S=C=NCCC1=CC=CC=C1",0
"147","C=CC(=O)OCCOC(=O)C=C",0
"148","CCCCCCCCC1CCC(=O)O1",0
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1",0
"150","NC(=O)NC1=CC=C(Cl)C(Cl)=C1",0
"151","CCCCCCOC(=O)C(C)C",0
"154","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",1
"155","CCCCOCC1CO1",0
"159","CC(O)=O.CCCCCCCCCCCCNC(N)=N",0
"160","[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O",0
