"","SMILES","Type"
"1","NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl",0
"2","CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C",0
"3","[Br-].C[N+](C)(C)CCO",0
"4","Br.CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1",0
"5","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO",0
"6","CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C",0
"7","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C",0
"8","CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1",0
"9","CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O",0
"10","[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1",0
"11","CCC1(CC)C(=O)NC(=O)N(C)C1=O",0
"12","CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC",0
"13","Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1",0
"14","CCN(CC)CCNC(=O)C1=CC=C(N)C=C1",0
"15","O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1",0
"16","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12",0
"17","CC(S)C(=O)NCC(O)=O",0
"18","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"19","C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",0
"20","CN1CCC[C@H]1C1=CN=CC=C1",0
"21","NC(CC1=CNC2=CC=CC=C12)C(O)=O",0
"22","[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O",0
"23","CC1=CC(=O)NC(=S)N1",0
"24","NC1=NC(Cl)=CC(Cl)=N1",0
"25","NC1=CC(=O)N=C(N)N1",0
"26","NCCCC(O)=O",0
"27","C=CCN=C=S",0
"28","CC(=O)NCCCCCC(O)=O",0
"29","CCCCCCCCCCCCCCCC(O)=O",0
"30","CCCCCCCCCCCCCCCCCC(O)=O",0
"31","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",0
"32","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C",0
"33","CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",0
"34","CCOC1=CC(NC(C)=O)=CC=C1C(=O)OC",0
"36","OS(O)(=O)=O.OS(O)(=O)=O.NC(=N)NCCN1CCCCCCC1",0
"37","NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1",0
"38","CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1",0
"39","OCCC1=CC=CC=C1",0
"40","C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O",0
"42","NC(=O)NC1=CC=CC=C1",0
"43","Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N",0
"44","OC(=O)CS",0
"45","CN(C)C=O",0
"46","COC1=CC=CC=C1OCC1CNC(=O)O1",0
"47","BrCC(=O)C1=CC=CC=C1",0
"48","CCCCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1",0
"49","OC(=O)C1=CC=C(Cl)C=C1",0
"50","CC#N",0
"51","ClCCl",0
"52","NC=O",0
"53","ClC(Cl)C(Cl)(Cl)Cl",0
"54","ClC(=O)C(Cl)(Cl)Cl",0
"55","OC(=O)C(Cl)(Cl)Cl",0
"56","[O-][N+](=O)C(Cl)(Cl)Cl",0
"57","CCC1(CC)C(=O)NC=CC1=O",0
"58","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O",0
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1",0
"60","CN1CCN(CC1)C1=NC2=C(CC3=C1C=CC=C3)C=CC=C2",0
"61","CCO[Si](CC)(OCC)OCC",0
"62","CCO[Si](OCC)(OCC)OCC",0
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O",0
"64","ClC=C(Cl)Cl",0
"65","ClCC(Cl)=O",0
"66","NC(=O)C=C",0
"68","OC(=O)CBr",0
"70","OC(=O)C=C",0
"71","OC(=O)CCl",0
"72","CC(C)(C1CCC(O)CC1)C1CCC(O)CC1",0
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1",0
"74","CC(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",0
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1",0
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1",0
"77","Cl[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1",0
"78","O=C1NS(=O)(=O)C2=C1C=CC=C2",0
"79","NC1=CC(=C(C=CC2=C(C=C(N)C=C2)S(O)(=O)=O)C=C1)S(O)(=O)=O",0
"80","OC(=O)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1",0
"81","CN1N(C(=O)C(N)=C1C)C1=CC=CC=C1",0
"82","O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1",0
"83","OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1",0
"84","C(CN1C2=CC=CC=C2SC2=CC=CC=C12)N1CCCC1",0
"85","O=C1C(=O)C2=C(C=CC=N2)C2=CC=CN=C12",0
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2",0
"87","C1=CC=C2C(C=CC3=C2C=CC=N3)=C1",0
"88","CN1CCC(CC1)N(CC1=CC=CS1)C1=CC=CC=C1",0
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2",1
"90","NC1=CC2=C(C=C1)C(O)=CC(=C2)S(O)(=O)=O",0
"91","OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1",0
"92","OC1=C(Cl)C=C(Cl)C=C1Cl",0
"93","CCC(CC)C(O)=O",0
"95","O.O.OS(=O)(=O)C1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O",0
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC",0
"97","OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O",0
"98","OC(=O)C1=CC=C(C=C1C(O)=O)S(O)(=O)=O",0
"99","OCC1=CC=CC=C1O",0
"100","OC1=CC=CC=C1C=O",0
"101","OC1=C([Hg]Cl)C=CC=C1",0
"102","COC1=C(O)C=CC=C1",0
"103","CC1=C(C=CC=C1N=C=O)N=C=O",0
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1",0
