Chemical name	Smiles	Type
	[O-][N+](=O)C1=CC=C(Cl)C=C1	not_ligand
	C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C	not_ligand
	CN1CCN(CC1)C(=O)C1CCCCC1	not_ligand
	NC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	OC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	CC1=CC(=O)NO1	not_ligand
	COC1=CC=C(C=C1)C(C)=O	not_ligand
	CN(C)C1=CC=C(C=O)C=C1	not_ligand
	[O-][N+](=O)C1=CC=C(CBr)C=C1	not_ligand
	[O-][N+](=O)C1=CC=C(CCl)C=C1	not_ligand
	CNC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O	not_ligand
	CC(C)C1=CC=C(C=C1)C(C)C	not_ligand
	CC(=O)C1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	ClC(=O)C1=CC=C(C=C1)C(Cl)=O	not_ligand
	OC(=O)C1=CC=C(C=C1)C(O)=O	not_ligand
	CN(C)C1=CC=C(C=C1)N(C)C	not_ligand
	[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O	not_ligand
	Cl[Nd](Cl)Cl	not_ligand
	Cl[Dy](Cl)Cl	not_ligand
	Cl[In](Cl)Cl	not_ligand
	ClP(Cl)(Cl)=O	not_ligand
	Cl[Sb](Cl)Cl	not_ligand
	ClP(Cl)(Cl)(Cl)Cl	not_ligand
	O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O	not_ligand
	CCCCCCCCCCCl	not_ligand
	OCCC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	CCCCCCCCCCCCCCC(O)=O	not_ligand
	Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12	not_ligand
	CCOC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	[K+].CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=N[N-]1	not_ligand
	CCCCCC\C=C\CCCCCCCC(O)=O	not_ligand
	CCCCCCOC(=O)C(C)CC	not_ligand
	NN.OS(O)(=O)=O	not_ligand
	CCN(CC)CCN	not_ligand
	CCN(CC)CCO	not_ligand
	BrCC1=CC=CC=C1	not_ligand
	[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O	not_ligand
	C=CC1CCC=CC1	not_ligand
	CCC1=CC=CC=C1	not_ligand
	C=CC1=CC=CC=C1	not_ligand
	CCCCCC(CO)CCC	not_ligand
	OB(O)O	not_ligand
	[Cl-].[Cl-].[Ca++]	not_ligand
	ClCC1=CC=CC=C1	not_ligand
	NCC1=CC=CC=C1	not_ligand
	N#CC1=CC=CC=C1	not_ligand
	N#CC1=CC=NC=C1	not_ligand
	Cl.Cl.CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1	not_ligand
	O=CC1CCC=CC1	not_ligand
	OCC1=CC=CC=C1	not_ligand
	[Cl-].CC[N+](C)(CC)CC	not_ligand
	O=CC1=CC=CC=C1	not_ligand
	SCC1=CC=CC=C1	not_ligand
	N#CC1=CN=CC=C1	not_ligand
	OCC1=CC=CN=C1	not_ligand
	Cl[Hg]C1=CC=CC=C1	not_ligand
	CNC1=CC=CC=C1	not_ligand
	NNC1=CC=CC=C1	not_ligand
	ON=C1CCCCC1	not_ligand
	ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1	not_ligand
	ONC1=CC=CC=C1	not_ligand
	C=CC1=CC=CC=N1	not_ligand
	N#CC1=NC=CC=C1	not_ligand
	CCNC1=NC(N)=NC(Cl)=N1	not_ligand
	CCN1CCOCC1	not_ligand
	O=NN1CCCCC1	not_ligand
	C1CN2CCC1CC2	not_ligand
	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	not_ligand
	[OH-].C[N+](C)(C)CC1=CC=CC=C1	not_ligand
	OC1=CC=CC=C1C1=NN=CO1	not_ligand
	CC(C)(O)CC1=CC=CC=C1	not_ligand
	[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=O	not_ligand
	OS(=O)(=O)NC1CCCCC1	not_ligand
	CCCC(=O)OC(C)(C)CC1=CC=CC=C1	not_ligand
	CC(=O)C1=CC=C(C=C1)C(C)=O	not_ligand
	C1N2CN3CN1CN(C2)C3	not_ligand
	C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1	not_ligand
	CCOC(=O)CN1C=CC=C1C1=NC(=C(S1)C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	not_ligand
	O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O	not_ligand
	O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	[Na+].[Na+].[O-][Se]([O-])=O	not_ligand
