Chemical name	Smiles	Type
	[O-][N+](=O)C1=CC=C(Cl)C=C1	not_ligand
	NC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	OC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	COC1=CC=C(C=C1)C(C)=O	not_ligand
	CN(C)C1=CC=C(C=O)C=C1	not_ligand
	OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O	not_ligand
	CC(C)C1=CC=C(C=C1)C(C)C	not_ligand
	ClC(=O)C1=CC=C(C=C1)C(Cl)=O	not_ligand
	OC(=O)C1=CC=C(C=C1)C(O)=O	not_ligand
	CCCCCCCC(OC)OC	not_ligand
	Cl[Nd](Cl)Cl	not_ligand
	[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O	not_ligand
	Cl[Dy](Cl)Cl	not_ligand
	Cl[In](Cl)Cl	not_ligand
	Cl[Sb](Cl)Cl	not_ligand
	CCCCCC\C=C\CCCCCCCC(O)=O	not_ligand
	CCCCCCOC(=O)C(C)CC	not_ligand
	NN.OS(O)(=O)=O	not_ligand
	CCN(CC)CCO	not_ligand
	CCCCCC(CO)CCC	not_ligand
	OB(O)O	not_ligand
	C=CC1=CC=NC=C1	not_ligand
	NCC1=CC=CC=C1	not_ligand
	N#CC1=CC=CC=C1	not_ligand
	OCC1=CC=CC=C1	not_ligand
	N#CC1=CN=CC=C1	not_ligand
	OCC1=CC=CN=C1	not_ligand
	ClC\C=C/Cl	not_ligand
	NNC1=CC=CC=C1	not_ligand
	ON=C1CCCCC1	not_ligand
	N#CC1=NC=CC=C1	not_ligand
	CCNC1=NC(N)=NC(Cl)=N1	not_ligand
	COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1	not_ligand
	CC1=CC(C=C)=CC=C1	not_ligand
	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	not_ligand
	[OH-].C[N+](C)(C)CC1=CC=CC=C1	not_ligand
	CC(C)(O)CC1=CC=CC=C1	not_ligand
	[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=O	not_ligand
	OS(=O)(=O)NC1CCCCC1	not_ligand
	CCCC(=O)OC(C)(C)CC1=CC=CC=C1	not_ligand
	C1N2CN3CN1CN(C2)C3	not_ligand
	O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1	not_ligand
	CC(OC1=CC(Cl)=CC=C1)C(O)=O	not_ligand
	COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1	not_ligand
	ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1	not_ligand
	CC(C)OC(=O)NC1=CC=CC(Cl)=C1	not_ligand
	C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1	not_ligand
	COC(=O)CC1=CC=CC=C1	not_ligand
	CN(C)C(=O)NC1=CC=CC=C1	not_ligand
	FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1	not_ligand
	CCCCCCCCCCCCS(Cl)(=O)=O	not_ligand
	COC(CC1=CC=CC=C1)OC	not_ligand
	NC1=CC=C(NC2=CC=CC=C2)C=C1	not_ligand
	BrC1=CC=C(OC2=CC=CC=C2)C=C1	not_ligand
	CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1	ligand
	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O	not_ligand
	CCCCCCCCC1=CC=C(NC2=CC=C(CCCCCCCC)C=C2)C=C1	not_ligand
	CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	not_ligand
	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1	not_ligand
	NC1=CC=C(OC2=CC=C(N)C=C2)C=C1	not_ligand
	C(C1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	C1CCC(CC1)NC1CCCCC1	not_ligand
	O(C1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	CCCCCCC(C=O)=CC1=CC=CC=C1	not_ligand
	CCOC(=O)CC1=CC=CC=C1	not_ligand
	CC(=O)CC(=O)NC1=CC=CC=C1	not_ligand
	N=C(NC1=CC=CC=C1)NC1=CC=CC=C1	not_ligand
	CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)NC1=CC=C(C=C1)C(O)=O	not_ligand
	CCCCC(CC)COCCC#N	not_ligand
	O=C(CC1=CC=CC=C1)OCCC1=CC=CC=C1	not_ligand
	NC(=O)C(Br)(Br)C#N	not_ligand
	CCNC1=CC(C)=CC=C1	not_ligand
	ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	not_ligand
	COC1=CC(C)=C(N)C=C1	not_ligand
	CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O	not_ligand
