Smiles	Type
[O-][N+](=O)C1=CC=C(Cl)C=C1	not_ligand
NC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
OC1=CC=C(C=C1)[N+]([O-])=O	not_ligand
OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O	not_ligand
CC(C)C1=CC=C(C=C1)C(C)C	not_ligand
[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O	not_ligand
CCN(CC)CCO	not_ligand
OB(O)O	not_ligand
OCC1=CC=CC=C1	not_ligand
N#CC1=CN=CC=C1	not_ligand
CCNC1=NC(N)=NC(Cl)=N1	not_ligand
COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1	not_ligand
C1N2CN3CN1CN(C2)C3	not_ligand
O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1	not_ligand
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1	not_ligand
CC(OC1=CC(Cl)=CC=C1)C(O)=O	not_ligand
COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1	not_ligand
ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1	not_ligand
CC(C)OC(=O)NC1=CC=CC(Cl)=C1	not_ligand
NC1=CC=C(NC2=CC=CC=C2)C=C1	not_ligand
BrC1=CC=C(OC2=CC=CC=C2)C=C1	not_ligand
CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1	not_ligand
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O	not_ligand
CCCCCCCCC1=CC=C(NC2=CC=C(CCCCCCCC)C=C2)C=C1	not_ligand
CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	not_ligand
NC1=CC=C(CC2=CC=C(N)C=C2)C=C1	not_ligand
NC1=CC=C(OC2=CC=C(N)C=C2)C=C1	not_ligand
O(C1=CC=CC=C1)C1=CC=CC=C1	not_ligand
CCCCCCC(C=O)=CC1=CC=CC=C1	not_ligand
N=C(NC1=CC=CC=C1)NC1=CC=CC=C1	not_ligand
CCCCC(CC)COCCC#N	not_ligand
NC(=O)C(Br)(Br)C#N	not_ligand
CCNC1=CC(C)=CC=C1	not_ligand
ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	not_ligand
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O	not_ligand
COP(N)(=O)SC	not_ligand
OCCN(CCO)CCO	not_ligand
CC(=O)OCC(COC(C)=O)OC(C)=O	not_ligand
CCCCN(CCCC)CCCC	not_ligand
[O-][N+](=O)C=CC1=CC=CC=C1	not_ligand
ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl	not_ligand
CCCCC(CC)COC(=O)C=C	not_ligand
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC	not_ligand
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC	not_ligand
C(CC1=CC=CC=C1)C1=CC=CC=C1	not_ligand
C1=CC=C(C=C1)N=NC1=CC=CC=C1	not_ligand
FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2	not_ligand
CCOC(=O)C=CC1=CC=CC=C1	not_ligand
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1	not_ligand
CCC(=O)OCC=CC1=CC=CC=C1	not_ligand
CCCC1=CC=CC=C1	not_ligand
CCNC1=CC=CC=C1	not_ligand
NC(=S)NC1=CC=CC=C1	not_ligand
CC(=O)NC1=CC=C(O)C=C1	not_ligand
CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O	not_ligand
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O	not_ligand
CCCCCCCCCC1=CC=C(O)C=C1	not_ligand
CCCCC1=CC=CC=C1	not_ligand
CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C	not_ligand
CCCCCCCC1CCC(=O)O1	not_ligand
CCCCC(CC)CO	not_ligand
[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1	not_ligand
OC1=CC=C(C=C1)N=O	not_ligand
CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1	not_ligand
C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C	not_ligand
CCCC(=O)OCC	not_ligand
O=C1CCCCCN1	not_ligand
CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O	not_ligand
CC1=CC(C)=C(O)C=C1	not_ligand
CC(C)=CCC\C(C)=C\COC(C)=O	not_ligand
CCCCOC(=O)CCCCC(=O)OCCCC	not_ligand
O=C1CCCCCCCCCCCCCCO1	not_ligand
